ای شادی جان آفرینش	وی گوهر کان آفرینش
ای محرم خلوتی که آنجا	محسوت نشان آفرینش
ای بلبل بوستان تجرید	در شوره‌ستان آفرینش
در جلوه کشیده کشف نطقت	اسرار نهان آفرینش
در بدو وجود گفته پیرت	کای بخت جوان آفرینش
ناجسته ز فکرتت روانتر	تیری ز کمان آفرینش
آزاد مراتب یقینت	زاسیب گمان آفرینش
بی‌فاتحهٔ ثنا نبرده	نام تو زبان آفرینش
در شیوهٔ اختراع و ابداع	با تاب و توان آفرینش
گم کرده گران رکابی تو	تیزی عنان آفرینش
در بی‌جهتی هلال قدرت	فارغ ز بنان آفرینش
در بی‌صفتی علو نعتت	برتر ز بیان آفرینش
نابسته نبوده تا که بوده	پیش تو میان آفرینش
صیت تو گرفته صد ولایت	زانسوی جهان آفرینش
ده یازده قبول داری	بر کل مکان آفرینش
بیش است زکوة مایهٔ تو	از سود و زیان آفرینش
سوگند به جان تو خورد عقل	یعنی که به جان آفرینش
ای نازده آفرینشت راه	عبادی و آن آفرینش
هر نوبت مجلست بهاریست	در فصل خزان آفرینش
سر گم شده نعرهٔ مریدانت	نواب فغان آفرینش
افتاده بر آستانهٔ سمع	مست از تو روان آفرینش
لوزینهٔ استعارت تست	آرایش خوان آفرینش
نقد سخنت چو رایج افتاد	در داد و ستان آفرینش
صراف سخن که نفس کلیست	بر طرف دکان آفرینش
پرسید ز عقل کل که آن چیست	گفتا همه دان آفرینش
تا ابلق تند دهر رامست	اندر خم ران آفرینش
در خدمت دور دولتت باد	دوران و زمان آفرینش
شیرین ز زبان شکرینت	تا حشر دهان آفرینش
