اختیار ملوک هفت اقلیم	تاج دین خدای ابراهیم
باز بر تخت بخت کرد مقام	باز در صدر ملک گشت مقیم
کرد خالی شهاب کلکش باز	فلک ملک را ز دیو رجیم
صدر ملکش فلک مسلم کرد	تا جهانی بدو کند تسلیم
زود کز عدل او صبا و دبور	به مشام فلک برند نسیم
آنکه قدرش رفیع و رای منیر	وانکه شبهش عزیز و مثل عدیم
نه سؤالش در انتقام درشت	نه جوابش در احترام سقیم
جودش ار والی جهان گردد	ابر نیسان شود هوای عقیم
سهمش ار بانگ بر زمانه زند	خون شود ژالهٔ سحاب از بیم
گر سموم سیاستش بوزد	تشنه میرد در آب ماهی شیم
ور نسیم عنایتش بجهد	روح یابد ازو عظام رمیم
عقل خواندش حکیم بازش گفت	حکمت صرف خوانمش نه حکیم
دهر گفتش کریم بازش گفت	کرم محض گویمش نه کریم
کلک او داد نفس انسی را	آنچه معلوم کس نشد تعلیم
ذهن او داد عقل کلی را	آنچه مفهوم کس نشد تفهیم
درگذر از طلایهٔ عزمش	کوه دریا بود به عبره سلیم
با وقار و سیاستش در ملک	آب و آتش بود حرون و حلیم
ای به رایت بر آفتاب مزید	وی به قدرت بر آسمان تقدیم
خردی در کفایت و دانش	فلکی در جلالت و تعظیم
کوه با حلم تو خفیف و لطیف	روح با لطف تو کثیف و جسیم
نه به وجود اندرت عطای رکیک	نه به طبع اندرت خطال ذمیم
بر بقای تو کند تیغ اجل	با کمال تو خرد عرش عظیم
حرم عدل تو چنان ایمن	که جهان را ز فتنه گشت حریم
وعدهٔ فضل تو چنان صادق	که فلک را به وعده خوانده لئیم
همتت برتر از حدوث و قدم	فکرتت آگه از حدیث و قدیم
نفست وارث دعای مسیح	قلمت نایب عصای کلیم
نوک کلک تو بحر مسجور است	واندرو صد هزار در یتیم
لوح ذهن تو لوح محفوظست	واندرو سعد و نحس هفت اقلیم
جز به انگشت ذهن و فطنت تو	نشود نقطه قابل تقسیم
هرچه معلوم تو فرود تواند	کیست برتر ز تو خدای علیم
ابر را گر کف تو مایه دهد	بشکند پنجهٔ چنار از سیم
معدهٔ آز را به وقت سال	نعمتت امتلا دهد ز نعیم
جان بدخواه تو به روز اجل	عنف تو سرنگون کشد به جحیم
آب رفق تو شد شراب طهور	آتش کین تو عذاب الیم
تیغ کینت نغوذبالله ازو	روح را چون بدن زند به دو نیم
تا که از روی وضع نقش کنند	شین پس از سین و حا فرود از جیم
پشت خصمت چو جیم باد و جهان	بر دلش تنگتر ز حلقهٔ میم
دولتت را کمال باد قرین	مدتت را زمانه باد ندیم
کوس تو بر فلک رسیده و باز	طبل خصمت بمانده زیر گلیم
اختیارات تو چنان مسعود	که تولا بدو کند تقویم
