اختیار سکندر ثانی	زبدهٔ خاندان عمرانی
مجد دین خواجهٔ جهان که سزاست	اگرش خواجهٔ جهان خوانی
کار دولت چنان بساخت که نیست	جز که در زلف شب پریشانی
بیخ بدعت چنان بکند که دیو	ملکی می‌کند نه شیطانی
آنکه از رای کرد خورشیدی	وانکه از قدر کرد کیوانی
آنکه فیض ترحم عامش	بر جهان رحمتیست یزدانی
نوبهار نظام عالم را	دست او ابرهای نیسانی
کشت‌زار بقای دشمن را	قهر او ژالهای طوفانی
آنکه زندان پاس او دارد	چون حوادث هزار زندانی
رسم او کرده روی باطل و حق	سوی پوشیدگی و عریانی
تا نه بس روزگار خواهی دید	فتنه در عهدهٔ جهانبانی
نکند آسمان به دشواری	آنچه عزمش کند بسانی
نامهای نفاذ حکمش را	حکم تقدیر کرده عنوانی
در چنان کف عجب مدار که چوب	از عصایی رسد به ثعبانی
قلمش معجزیست حادثه خوار	خاصه در کارهای دیوانی
نکند مست طافح کینش	جرعه از دردی پشیمانی
بدسگالش ز حرص مرگ بمرد	چون طفیلی ز حرص مهمانی
مرگ جانش همی به جو نخرد	از چه از غایت گران‌جانی
ای جهان از عنایت تو چنانک	جغد را یاد نیست ویرانی
عدل تو راعی مسلمانان	جاه تو حامی مسلمانی
بارگاه تو کرده فردوسی	پرده‌دار تو کرده رضوانی
تو در آن منصبی که گر خواهی	روز بگذشته باز گردانی
تو در آن پایه‌ای که گر به مثل	کار بر وفق کبریا رانی
نایبی را بجای هر کوکب	بر سپهری بری و بنشانی
چون بجنبی ز گوشهٔ مسند	مسند ملکها بجنبانی
محسنی لاجرم ز قربت شاه	دایم‌الدهر غرق احسانی
گرچه ارکان ملک یافته‌اند	عز تشریفهای سلطانی
آن نه آنست با تو گویم چیست	آصف و کسوت سلیمانی
ای چهل سال یک زمان کرده	مصطفی معجز و تو حسانی
وانکه من بنده خواستم که کشم	اندرین عقد گوهر کانی
بیتکی چند حسب و در هریک	رمزکی شاعرانه پنهانی
از تو وز پادشاه و از تشریف	عقل درهم کشیده پیشانی
گفت تشریف پادشا وانگه	تو به وصفش رسی و بتوانی
هان و هان تا ترا عمادی‌وار	از سر ابلهی و نادانی
درنیفتد حدیث مصحف و بند	کان مثل نیست نیک تا دانی
این همی گوی کای ز کنه ثنات	خاطرم در مضیق حیرانی
وی ز لطف خدایگان و خدا	به چنین صد لطیفه ارزانی
وی در این تهنیت بجای نثار	از در جان که بر تو افشانی
بنده از جان‌نثاری آوردست	همه گوهر ولیک روحانی
او چو از جان ترا ثنا گوید	جان‌فشانی بود ثناخوانی
تا که در من‌یزید دور بود	روی نرخ امل به ارزانی
دور تو عمر باد و چندان باد	کز امل داد بخت بستانی
بلکه از بی‌نهایتی چو ابد	که نگنجد درو دو چندانی
