منصب از منصبت رفیع‌ترست	هر زمانیت منصبی دگرست
این مناصب که دیده‌ای جزویست	کار کلی هنوز در قدرست
باش تا صبح دولتت بدمد	کاین هنوز از نتایج سحرست
پای تشریف صاحب عادل	که جهان را به عدل صد عمرست
ذکر تشریف شاه نتوان کرد	کان ز سین سخن فراخ‌ترست
در میانست و خاک پایش را	خاک بوسیده هرکه تاجورست
ورنه حقا که گفتمی بر تو	کافرینش به جمله مختصرست
بالله ار گرد دامن تو سزد	هرچه در دامن فلک گهرست
هرچه من بنده زین سخن گویم	همه از یکدگر صوابترست
سخن‌آرایی و لافی نیست	خود تو بنگر عیانست یا خبرست
من نمی‌گویم این که می‌گویم	تا تو گویی هباست یا هدرست
بر زبانم قضا همی راند	پس قضا هم بدین حدیث درست
ای جوادی که پیش دست و دلت	ابر چون دود و بحر چون شمرست
استخوان ریزهای خوان تواند	هرچه بر خوان دهر ماحضرست
هرکجا از عنایتت حصنی است	مرگ چون حلقه از برون درست
هرکجا از حمایتت حرزیست	در الم چون شفا هزار اثرست
باس تو شد چنانکه کاه‌ربای	از ملاقات کاه بر حذرست
عنصرت مایه‌ایست از رحمت	گرچه در طی صورت بشرست
خطوانت ز راستی که بود	همه خطهای جدول هنرست
وقت گفتار و گاه دیدارت	سنگ را سمع و خاک را بصرست
هست با خامهٔ تو خام همه	هرچه صد ساله پختهٔ فکرست
ناوکت روز انتقام بدی	سپر دور فتنه و خطرست
در دو حالت که دید یک آلت	که همو ناوک و همو سپرست
با سر خامهٔ تو آمده گیر	هرچه در قبضهٔ قضا ظفرست
گردش آفتاب سایهٔ تست	زیر فیضی کز آسمان زبرست
زانکه دایم همای قدر ترا	هرچه در گردش است زیرپرست
شوخ چشمی آسمان دان اینک	بر سرت آسمان را گذرست
ورنه از شرم تو به حق خدای	کز عرق روی آفتاب ترست
گر کند دست در کمر با کوه	کینت کز پای تا به سر جگرست
بگسلد روز انتقام تو چست	هر کجا بر میان او کمرست
گر دهد خصم خواب خرگوشت	مصلحت را بخر که عشوه خرست
چرخ داند که ریشخندست آن	نه چو آن ریش گاوکون خرست
یک ره این دستبرد بنمایش	تا ببیند اگرنه کور و کرست
که به سوراخ غور کین تو در	به مثل موش ماده شیر نرست
آمدم با حدیث سیرت خویش	که نمودار مردمان سیرست
به خدایی که در دوازده میل	هفت پیکش همیشه در سفرست
تختهٔ کارگاه صنعت اوست	گر سواد مه و بیاض خورست
که مرا در وفای خدمت تو	گر به شب خواب و گر به روز خورست
چمن بوستان نعت ترا	خاطرم آن درخت بارورست
که ز مدح و ثنا و شکر و دعا	دایمش بیخ و شاخ و برگ و برست
شعر من در جهان سمر زان شد	که شعار تو در جهان سمرست
گشته‌ام بی‌نظیر تا که ترا	به عنایت به سوی من نظرست
آتش عشق سیم نیست مرا	سخنم لاجرم چو آب زرست
تا سه فرزند آخشیجان را	چار مادر چنانکه نه پدرست
ناگزیر زمانه باد بقات	تا ز چار و نه و سه ناگزرست
پای قدرت سپرده اوج فلک	تا جهان را فلک لگد سپرست
