یارب این بارگاه دستورست	یا نمودار بیت معمورست
یا سپهرست و ماه مسرع او	مسرع قیصرست و فغفورست
یا بهشتست و حوض کوثر او	جام زرین و آب انگورست
بل سپهرست کاندرو شب و روز	ماه و خورشید مست و مخمورست
بل بهشتست کاندرو مه و سال	باده‌کش هم فرشته هم حورست
از صدای نوای مطرب او	دایم اندر سیم فلک سورست
وز ادای روات شاعر او	گوش چون درج در منثورست
غایتی دارد اعتدال هواش	که ازو چار فصل مهجورست
تشنه را زان هوا نمی‌سازد	زان برنج سبات رنجورست
مرده را زنده چون کند به صریر	در او گرنه نایب صورست
بی‌تجلی چرا نباشد هیچ	صحن او گرنه ثانی طورست
دامن سایهٔ کشیدهٔ اوست	که ازو راز روز مستورست
مسرع صبح اگر درو نرسد	شعلهٔ آفتاب معذورست
بر بساطش اگرچه نیم شب است	سایها را گذاره از نورست
کز تباشیر صبح رای وزیر	دست آسیب شب ازو دورست
صاحب عادل افتخار جهان	که جهانش به طبع مامورست
صدر اسلام و مجد دولت و دین	که برو صدر ملک مقصورست
آنکه در کلک او مرتب شد	هرچه در سلک دهر مقدورست
آنکه در دار دولت از رایش	هرکجا رایتست منصورست
آنکه با ذکر حلم و رافت او	خاک معروف و باد مذکورست
آنکه تا هست حرص و حرمان را	کیسه مرطوب و کاسه محرورست
قلمش تا مهندس ملکست	فتح معمار و تیغ مزدورست
تا که در جلوهٔ عروس بهار	سعی خورشید سعی مشکورست
شب و روزش بهار دولت باد	تا به خورشید روز مشهورست
