در مرثیهٔ موئیدالدین	هرکس اثری همی نماید
گفتم که تشبهی کنم نیز	باشد که تسلیی فزاید
لیکن پس از آن جهان معنی	خود طبع سخن همی نزاید
با این همه شرح حال شرطست	شرطی نه که طبع هرزه لاید
در جوف سپهر تنگدل بود	عنقا به قفس درون نیاید
می‌گفت کجاست باد فضلی	کم زین سر خاک در رباید
یزدان که گره‌گشای فضلش	بند قدر و قضا گشاید
بشنید به استماع لایق	چونان که جز آنچنان نشاید
لطفش به رسالت اجل گفت	کاین زبدهٔ صنع می چه باید
بر شاخ مزاج بلبل جانت	تا چند نوای غم سراید
گر مختصرست عالم کون	رای تو بدو نمی‌گراید
بخرام که سکنهٔ دگر هست	تا آن دگرت چگونه آید
