دست در روزگار می‌نشود	پای عمر استوارمی‌نشود
شاهد خوب صورتست امل	در دل و دیده خوار می‌نشود
روز شادی چو راز گردونست	لاجرم آشکار می‌نشود
هیچ غم را کران نمی‌بینم	تا دو چشمم چهار می‌نشود
پای برجای نیست حاصل دهر	عشق از آن پایدار می‌نشود
هیچ امسال دیده‌ای هرگز	که دگر سال پار می‌نشود
پر شد از خون دل کنار زمین	واسمان دل‌فکار می‌نشود
شاد می‌زی که در عروسی دهر	رنگ چندین به کار می‌نشود
یک تسلیست وان تسلی آنک	مرگ در اختیار می‌نشود
خرم آن‌کس که نیست بر سر خاک	تا چنین خاکسار می‌نشود
انوری در میان این احوال	هیچکس بر کنار می‌نشود
