نگارا سرو قدا ماهرویا	بهشتی پیکرا زنجیر مویا
ز بی رحمی مرا تا کی نمایی	دریغ دوری و درد جدایی
به جان تو که این نامه بخوانی	یکایک حالهای من بدانی
مداد و خون دل در هم سرشتم	پس آنگه این جفا نامه نوشتم
جفا نامه نهادم نام نامه	که بر وی خون همی بارید خامه
چو یاد آمد مرا آن بی وفایی	که از تو دیده ام روز جدایی
ز هفت اندام من اتش بر افروخت	قلمها را در انگشتم همی سوخت
چو بی تدبیر و بی چاره بماندم	ز دیده بر قلم باران فشاندم
بدین چاره رهانیدم قلم را	نبشتم قصهء جان دژم را
ببین این حرفهای پژمریده	همه نقته بریشان خون دیده
خط نامه چو بخت من سیاهست	همان نونش چو پشت من دو تا هست
جهان حلقه شده بر من چو میمش	امید من شکسته همچو جیمش
مرا چون لام نامه قد دوتاست	ترا همچون الفها قامت راست
من و تو هر دو خواهم مست و خرم	بسان لام الف پیچاده بر هم
جفایت گشت پیشه ای جفا جوی	چو کاف نامه بن بسته یکی کوی
همی گویم که از پیشت گذر نیست	ترا زین کوی بن بسته خبر نیست
سر نامه به نام کردگارست	خداوندی که بر ما کامگارست
در مهر تو بر من او گشادست	وفا در جان من هم او نهادست
به کار خویش یاور کردم او را	و با نامه شفیع آوردم او را
اگر دانی شفیع و یاوردم را	ببخشای این دل بی داورم را
نه دارم من شفیع از ایزدم بیش	نه خواهشگر فزون از نامهء خویش
تو از من پیش ازین زنهار جستی	ز باغ عارصم گلنار جستی
اگر من سر در آوردم به دامت	پذیرفتم همه گونه پیامت
تو نیز اکنون نکن محکم کمانی	به دل یاد آر مهر سالیانی
چو این نامه بخوانی زان بیندیش	که نازر گرگ بود و جان تو میش
کنون از چنگ گرگ من برستی	چو گرگ اندر کنار من نشستی
چو این نامه بخوانی زان به یاد آر	که بختت خفته بود و عشق من مار
کنون از خواب خوش بیدار گشتی	منت خفته شدم تو مار گشتی
بخوان این نامه با زنهار چندین	نگر تا دیده ام آزار چندین
من آن یارم چنان بر تو گرامی	که کردیم با تو چندان شاد کامی
من آن یارم چنان بر تو نیازی	که کردم با تو چندان عشق بازی
کنون نامه همی باید نوشتن	بدین بیچارگی خرسند گشتن
در آن جایی که بودم شاه و مهتر	ز بخت بد شدستم خوار و کهتر
مرا بینید وز من پند گیرید	دگر در مهر خواهش مه پذیرید
مرا بینید هر که هوشیارید	دگر مهر کسان در دل مکارد
نگارا خود ترا ان سرزنش بس	که باشد در جهان نام تو ناکس
چونه هر که این نامه بخواند	وزین نامه نهان ما بداند
مرا گوید عفااللّه ای وفادار	که چندین جست مهر بی وفا یار
ترا گوید جزا اللّه ای جفا جوی	که خود در تو نبود از مردمی بوی
رسید این نامهء دلبر به پایان	مرا با تو سخن مانده فراوان
بسنالیدم بسی از روزگاران	هنوز این نیست یکّی از هزاران
عتابم با تو هرگز سر نیاید	وزین گفتار کامم برنیاید
همی تا با تو گویم یافته گفتار	روم لابه کنم در پیش دادار
شوم فریاد خوانم بر در آن	که نه حاجب بود او را نه دربان
ازو خواهم نه از تو روشنایی	وزو جویم نه از تو آشنایی
دری کار بست بر من او گشاید	گشاینده جز اویم کس نباید
ببرم دل ز هر چیزی وزو نه	که او از هر چه در گیتی مرا به
