جدا فیلسوفند دیگر گروه 	جهان از ستیهندگیشان ستوه
که گویند کاین گیتی ایدون به پای	همیشه بدو نیز باشد به جای
گمانشان چنینست در گفت خویش	بر آن کاین جهان بُد همیشه ز پیش
که بر ایزد این گفت نتوان به نیز	که بُد پادشا و نبدش ایچ چیز
بکرد آن گه  ایدون جهانی شگفت	که  تا پادشا شد بزرگی گرفت 
چنان بُد که همواره بد پادشا	ازو پادشایی نباشد جدا
ره من همینست و گفتار من	ولیکن جزاینست دیدار من
بَرِ من جهان است دیگر یکی 	که هست این جهان نزد آن اندکی
از آنجاست افتادن جان ما	درین تیره گیتی که زندان ما
جهان چار طبع و ستارست و چرخ	پس اینان ز دانش ندارند برخ
نه گویا ، نه بینا ، نه دانشورند	نه جفت خرد، نز هنر رهبرند
ز یکسو بود جنبش طبع راست	چنان جنبد این جان که او را هواست
مرین جان ما را گهر دیگرست	که بینا و گویا و دانشورست
پس او نیست از گوهر این جهان	دگر جایگاهست او را  نهان
از آن سان که بُد پیش گشته شدست	درین طبع گیتی سرشته شدست
خورا هر چه بینی تو از کم و بیش	کند همچو خود هر یکی خورد خویش
اگر جانور صد بود گونه گون	ز یک چیزشان خورد نبود فزون
خورند آن یکی چیز را تن به تن	کند هر یک از خورده چون خویشتن
خورد رستنی از زمین آب و خاک	کند همچو خود هر چه را خورد پاک
گیا را گیاخوار چون خورد کرد	کند باز چون خویشتن هر چه خورد
خورد مر گیاخوار را آدمی	درآردش در پیکر مردمی
ز خاک سیه تا به مردم فراز	رسد پایه پایه همی تا فراز
مرین پایها را گذارد همی	برآنسان که یزدانش دارد همی
گرفتار ماندست در کار خویش	رسیده به پاداش کردار خویش 
ولیکن چو افتاده شد در زمی	نخستین بود پایه رستمی
نگون باشد آنجا به خاک اندرون	که هر رستنی می برد سرنگون
 چو اندر گیاخوار پیدا شود	معلق سرش سوی پهنا شود
چو در مردم آید پدیدار باز	شود زین دو پستی سرش برفراز
وز آن پس بر از آدمی پایه نیست	که در جانور بیش ازین مایه نیست
چو آمد درین پیکر و راست خاست	به ایزد رسد گر بود پاک و راست
به داد و به دین راند آیین و راه	هم ایزد شناسد بداند آله
هم آگاه گردد که چون بُد نخست	بهشت برین جای یابد درست
ور از دین بود دور و ناخوب کار	به دوزخ بود جاودان پایدار
درین ره سخن هست دیگر نهفت	ولیکن فزون زین نشایدش گفت
اگر خواهی آن جست باید بسی	مگر اوفتد کت نماید کسی
ز من هر چه پرسیدی از کمّ و بیش	بگفتم ترا چون شنیدم ز پیش 
اگر چند دانش بَر ما بسست	خداوند داناتر از هر کسست 
تو گر چند بسیار دانی سخن	همان بیشتر کش ندانی ز بن
همه دانشی با خدایست و بس	نداند نهانش جزو هیچکس
