مگر می‌رفت استاد مهینه	خری می‌برد بارش آبگینه
یکی گفتش که بس آهسته کاری	بدین آهستگی بر خر چه داری
چه دارم گفت دل پر پیچ دارم	که گر خر می‌بیفتد هیچ دارم
چو پی بر باد دارد عمر هیچ است	ببین کین هیچ را صد گونه پیچ است
چنین عمری کزو جان تو شادست	چو مرگ آید بجان تو که بادست
اگر سد سکندر پیش گیری	ز وقت خود نه پس نه پیش میری
ترا این مرگ هم پیشت نهادست	ولی روزی دو از پس اوفتادست
چو شاخی را همی بری زدونیم	دل شاخ دگر می‌لرزد از بیم
ترا دور فلک چندی گذارد	خود این مست استخوان چندی ندارد
همه کار جهان از ذره تا شمس	چه می‌پرسی کان لم تعن بالامس
اگر اسکندی دنیای فانیت	کند بر تو کفن اسکندرانیت
وگر روبین تر از اسفندیاری	بآخر نیز او را چشم داری
نهٔ کوه و گر کوه بلندی	چو کاهی گردی از بس مستمندی
نه دریا و گردریای آبی	بپالایی و بپذیری خرابی
نهٔ شیر و گر شیر ژیانی	تو روبه بازی گردون ندانی
نهٔ پیل و گر خود پیل گیری	چو نمردی بسارخکی بمیری
نهٔ خورشید و گرهست این کمالت	چو در گردی پدید آید زوالت
نهٔ ماه و گر ماه منیری	چو پیش عقده افتادی بگیری
نهٔ سندان و گر سندان و پتکی	چو مرگ آید برهواری بلنگی
نهٔ آهن بسختی و بتیزی	وگر هستی بیک سستی بریزی
اگر تو شیر طبع و پیل زوری	ز بهر طعمهٔ کرمان گوری
همی آن دم که از تن جان برندت	میان زیره تا کرمان برندت
چو خفتی در کفن گشتی لگدکوب	تو خفته به خوری اما بسی چوب
تو گر خاکی و گر آتش نژادی	درین دولاب سیمابی چو بادی
بسا گلبرگ کز تب ریخت از بار	شد از تب ریزه تا کرمان بیک بار
چو بزتاچند خواهی بر کمر جست	که خواهی کام و ناکام این کمربست
فرواندیش تا چندین زن و مرد	کجا رفتند با دلهای پر درد
همه صحرای عالم جای تا جای	سراسر خفته می‌بینم سراپای
همه روی زمین فرسنگ فرسنگ	تن سیمینست زلفین سیه رنگ
همه کوه و بیابان گام و ناگام	قد چون سرو بینم چشم بادام
همی در هیچ صحرا منزلی نیست	که در خاک رهش پرخون دلی نیست
زهر جایی که می‌روید گیاهی	برون می‌آید از هر برگش آهی
همه خاک زمین خاک عزیزانست	عزیزان برگ و عالم برگ ریزانست
