خداوند جهان دانای اکبر	برافزایندهٔ این شمع خاور
بقدرت چون پدید آورد عالم	ز بهر مسکن اولاد آدم
بعلم و حکمت خود کرد داور	بقای این جهان چندان مقدر
که ماند انبیا و اولیایش	نیاید بعد از آن دیگر بقایش
یقین میدان که تا باشند ایشان	نخواهد شد کس از محشر پریشان
ز بهر آدمیزادست گیتی	بایشان دان که آباد است گیتی
دو فرقت آدمی را باشد ای جان	بمعنی و بصورت گشته انسان
گروه اولی زان انبیایند	که خاص بارگاه کبریایند
دوم فرقه از ایشان اولیاء دان	بود داخل در ایشان اهل ایمان
جز اینها جمله چون انعام باشند	ز معنی غافل و بیکام باشند
نه از خود گفته شد این نکته ای جان	ز من گر نشنوی بشنو ز قرآن
بصورت آدمی بسیار باشند	که در محشر سزای نار باشند
بمعنی آدمی می‌بایدت بود	که تا برناورد دوزخ ز تو دود
بود امت نبی را همچو فرزند	بمعنی باشد او را یار و پیوند
کسی باید که او این حال داند	که خواجه امتان را آل خواند
بمعنی هر که از آدم دهد بو	بود فرزند او دلخواه و دلجو
شد از معنی بصورت راه بسیار	بحشر اندر ز معنیها کند کار
ز من بشنو تو از روی ارادت	یقین میدان که تا یابی سعادت
که تا مفتوح باشد باب توبه	ولایت را نباشد قطع نوبه
بهر وقتی و هر دور و زمانی	بود صاحب دلی در هر مکانی
که باشد آن زمان از وی مشرف	همان جا و مکان ازوی مشرف
وجود او بلاها می‌کند دفع	بجمله مردمان از وی رسد نفع
نباشد ختمشان تا روز محشر	که گردد این جهان یکسر مکدر
بصورت تا یکی گردد ز ایشان	نگردد گیتی از محشر پریشان
چو ایشان رخت بربندند یکسر	شود پیدا علامت‌های محشر
چو بردارند تمامت اولیا را	قیامت کشف گردد آشکارا
کسی کو غیر ازین بیند خیال است	وگر گویند ایشان را وبال است
بدین قول اتفاق اهل دین است	یقین میدان که این گفته چنین است
