جوانی بود سرگردان همیشه	نمک بفروختن بودیش پیشه
بگرد شهر می‌کردی تگ و تاز	بهر کوچه فرو می‌دادی آواز
ایاز دلستان را دید یک روز	بسوخت از پای تا فرقش در آن سوز
جهان در عشق وی بر وی سیه شد	ولیکن بود روشن کان ز مه شد
جهان از مه سیه چون گردد آخر	که تا دل زو بصد خون گردد آخر؟
شبانروزی دلی پر خون چو مستی	همه بر درگه سلطان نشستی
میان خاکِ راه افتاده بودی	نمک در پیشِ خود بنهاده بودی
نبودی بی نمک در عشقِ آن ماه	ازان افتاده شور افتاد در راه
گهی آواز دردادی بخواری	گهی کردی چو آتش بیقراری
ایاز سیم بر چون بر گذشتی	ز اشکش آبِ او از سرگذشتی
بیفتادی و عقل از وی برفتی	ز مدهوشیش جان از تن نهفتی
ز سوز عشق آن مبهوت گمراه	مگر محمود را کردند آگاه
زمانی سر به پیش افکند محمود	گهی نالید و گه می‌سوخت چون عود
بدل با خویش گفت این حدِّ او نیست	که عشق و مال با شرکت نکو نیست
بخواند القصّه او را پادشا زود	نمک بر سر درآمد آن گدا زود
زبان بگشاد محمود و بدو گفت	که بپذیر ای گدا از من نکو گفت
بترک عشقِ این بت روی من گوی	و یا نه ترکِ جان خویشتن گوی
جوابش داد عاشق گفت ای شاه	تو بر تختی و من استاده بر راه
ایازت را تو داری جاودانه	مرا زو نیست حاصل جز فسانه
میان عزّ و ناز و پادشاهی	نشسته پیشِ تست آن را که خواهی
چوآن بت را تو داری من چه جویم	چو او با تست من ترک که گویم
مرا عشقست از وی جاودانه	که دایم می‌زند در جان زبانه
دمی گر عشقِ او بیشم نگردد	بجز قربان شدن کیشم نگردد
چو بکشد عشقِ او روزیم صد راه	نترسم هم اگر می‌بکشدم شاه
که عاشق هیچ برجانی نلرزد	که در چشمش جوَی جانی نیرزد
شهش گفت ای ز سر تا پا همه ننگ	تو با من کی توانی بود هم سنگ
تو هرگز عشق نتوانی نکو باخت	بچه سرمایه خواهی عشقِ او باخت
گدا گفتش که این سرمایه پیوست	ترا یک ذرّه نیست امّا مرا هست
تو چون پر آلتی از نوعِ شاهی	ولیکن بی نمک چندان که خواهی
چو من دارم نمک تا چند بازی	ز عشق بی نمک چندین چه نازی
تو مال و ملک و زرّ و زور داری	نمک باید چو من گر شور داری
شهش گفتا که حجّت گوی عاشق	ترا دیدم نهٔ در عشق لایق
گدا گفتش اگر من حجّت آرم	وگر عاشق شوم باکی ندارم
تو از ملکت همی بر سر نیائی	نپردازی بعشق از پادشائی
من از عشق ایاز تو زمانی	نپردازم به سودای جهانی
من از وی می‌نپردازم بدو کَون	تو با وی می‌نپردازی ز صد لون
کنون تو عشقِ خویش و عشقِ من بین	تفاوت زین گدا و خویشتن بین
شهش گفت ای گدای زینهاری	کدامین جای او را دوست داری
چنین گفت او که من زهره ندارم	که عشق آن صنم در خاطر آرم
ندارم جای آن هرگز چه سازم	که با یک جای آن بت عشق بازم
که گر یک موی او بینم زمانی	شود هر موی من آتش فشانی
ندارم طاقت یک جای او من	چه گردم گردِ سر تا پای او من
شهش گفتا که از سر تا بپایش	چو عاشق نیستی بر هیچ جایش
ز عشق او چرا پس بیقراری	بگو تا از کجاست این دوستداری
چنین گفت او که جانم پر خروشش	تو می‌دانی که چیست از دُرِّ گوشش
چو آمد حلقهٔ گوشش پدیدار	بجانم حلقهٔ گوشش خریدار
هوای عشقِ آن بت را نَیَم کس	که عشق دُرِّ گوشِ او مرا بس
شهش گفت آنکه زین گوهر نشان یافت	ز بحر جسم یا از بحرِ جان یافت؟
گدا گفتش چنین دُرّ ای جهاندار	ز بحر عشق او آمد پدیدار
چو بحر عشق را غوّاص گردی	بخلوت آن گهر را خاص گردی
شهش گفتا درین بحر ای جوانمرد	چگونه عزم غوّاصی توان کرد
گداگفتش که تو با پیل و لشکر	ز مشرق تا بمغرب ملک و کشور
درین دریا ندانی بود غوّاص	که این را مفردی باید باخلاص
دو عالم را برافکنده بیک بار	فرو رفته بدین دریا نگونسار
نفس بگرفته دست از جان بشسته	گهر در قعرِ دریا باز جسته
تو بگشاده همه عالم پر و بال	نیابی بوی آن دُر در همه حال
شهش گفتا که سلطان هیچ نشتافت	چنین دُرّی که گفتی رایگان یافت
ببین اینک که در گوش ایاسست	که آن حلقه بگوش حق شناسست
مرا بی آنکه باید شد نگونسار	چنین دُرّی بدست آمد بیکبار
تو جان می‌کَن که این دُر خاصهٔماست	مرا دُرّ و ترا گردابِ دریاست
گدا گفتش که بِه زین کن تفکّر	تو هرگز کی بدست آوردهٔ دُر
که این دُر آنِ تو آنگاه بودی	که اندر گوشِ شاهنشاه بودی
چو در گوش تو نبوَد ای سرافراز	ترا با دُر چه کار، این دَر مکن باز
اگر شاه جهان بودی وفا کوش	شهستی نه غلامش حلقه در گوش
خوش اندر رفته عاشق تا بعیّوق	فکنده حلقه اندر گوشِ معشوق
اگر عاشق توئی چندین مزن جوش	تو می‌باید که باشی حلقه در گوش
چو تو در گوش آن حلقه نداری	مزن از عشق دم گر هوشیاری
ز خجلت شاه گوئی غرقِ خون شد	فرود آمد ز تخت و اندرون شد
گدا را با نمک از پیش راندند	ندانم تا سخن بر خویش خواندند
