جوانی داشت دیرینه رفیقی	رسیدش زخم سنگ منجنیقی
میان خاک و خون آغشته می‌گشت	رسیده جان بلب سرگشته می‌گشت
دمی دو مانده بود از زندگانیش	رفیق اندر میان ناتوانیش
بدو گفتا بگو تا چونی آخر	جوابش داد تو مجنونی آخر
اگر سنگی رسد از منجنیقت	بدانی تو که چونست این رفیقت
ولی ناخورده سنگی کی بدانی؟	بگفت این و برست از زندگانی
تو نشناسی که مردان در چه دردند	ولی دانند درد آنها که مردند
اگر درد مرا دانی دوائی	بکن ور نه برو بنشین بجائی
نصیب من چو ماهم زیرِ میغست	دریغست ودریغست و دریغست
مرا صد گونه اندوهست اینجا	که هر یک مه ز صد کوهست اینجا
اگر من قصّهٔ اندوه گویم	بر دریا و پیش کوه گویم
شود چون سیل کوه اینجا ز اندوه	چو دریا اشک گردد جملهٔ کوه
چنین نقلی درست آمد ز اخبار	که هر روزی که صبح آید پدیدار
میان چار رکن و هفت دایر	شود هفتاد میغ از غیب ظاهر
بر آن دل کو ز حق اندوه دارد	ز شست و نُه برو اندوه بارد
ولی هر دل که از حق باشدش صبر	همه شادی برو بارد بیک ابر
زمین و آسمان دریای دردست	نگردد غرقه هر کو مرد مردست
چو گیرم بر کنار بحر خانه	ز موجم بیم باشد جاودانه
فرو رفتم بدریائی من ای دوست	که جان صد هزاران غرقهٔ اوست
چو چندین جان فرو شد هر زمانی	کجا بادید آید نیم جانی
عجب نبوَد که گم گردم بیکبار	عجب باشد اگر آیم پدیدار
