کسانی کین بهشت جاودانی	طلبکارند اندر زندگانی
طلبکار بهشت جاودانند	حققت مر طلبکار جنانند
بتقوی و کم آزاری و طاعت	بسر بردند در عین سعادت
شب تاریک اندر فکر بودند	حقیقت روز و شب در ذکر بودند
نه شب خواب و نه شان در روز آرام	طلبکار بهشتاند و دلارام
ز بهر جنّت اینجا در وبالند	در اینجاگه طلبکار وصالند
در آن سر باز یابند این حقیقت	بهشت جاودانی بی طبیعت
بهشت آرزو هست ای برادر	بطاعت خوی کن بیخواب و بیخور
شود اجسام از شوقش بسوزان	چنین کردند اینجا نیک روزان
چنان مرخوی کن در طاعت حق	که باشد مر ترا جنّات مطلق
در اینجا جنّت و حور قصور است	بظاهر حالت ذوق و حضور است
بظاهر اندر اینجا هست جنات	حقیقت هم لقا و جوهر ذات
ولی بر قدریابی تو ز دیدت	که مر نورست مر گفت و شنیدت
تو بشنفتی ولی نادیدهٔ تو	نظر کن سر اگر بادیدهٔتو
تو از قول کلام این سر شنیدی	ولی جنّات حورا را ندیدی
ترا گویند در اسرار اینجا	ز نار و جنّت ودیدار اینجا
تو اندر مجلس عالی نشینی	یقین بشنو اگر صاحب یقینی
حقیقت گفتن و وعد و وعیدست	ولی اسرارشان هر کس ندیدست
ز بهر آنکه تا راهت نمایند	دل و جان سوی درگاهت نمایند
در این درگاه راهی باز یابی	بود کاینجا همه اعزاز یابی
ولی چندان ترا اینجا خیال است	کجا یابی که آنجاگه وصالست
بقدر عقل از تو باز گویند	ترابر هر صفت آن باز گویند
بقدر عقل خود یابی یقینت	اگر باشد دلِ اسرار بینت
بقدر عقل خود گر رهبری تو	ره شرع از حقیقت بسپری تو
بقدر عقل خود در عین تقوی	بیابی در عیان دیدار مولی
بقدر عقل خود در جوهر دل	شور در راه حق یک ذرّه واصل
بقدر عقل در جنّات بینی	در آنجاگه نفس راحات بینی
بقدر عقل خود بینی تو دیدار	اگر باشی ز دیدت ناپدیدار
بقدر عقل خود در جستجوئی	از آن پیوسته اندر گفتگوئی
بقدر عقل خود از حق زنی دم	همی گوئی از او هر دم دمادم
بقدر عقل آدم میشناسی	ولی آدم کجا زان دم شناسی
بقدر خود یقین دانستهٔ تو	چگویم چونکه نتوانستهٔ تو
بقدر عقل خوددر جوهر جان	نظر کن بیش ازاین خود را مرنجان
بقدر عقل خود در جوهر دل	نظر کن تا کنی مقصود حاصل
بقدر عقل خوددریاب آن راز	که تا یابی ز حق انجام و آغاز
بقدر عقل خود دم زن تو ازدوست	که میگوئی تو دایم جملگی اوست
بقدر عقل اینجا راه یابی	درون خویش را آن شاه یابی
بقدر عقل ره میبردهٔ تو	ولیکن همچنان در پردهٔ تو
بقدر عقل اینجاگاه لافی	ولی اینجا نگشتستی توصافی
بقدر عقل اینجا در یقینی	ولیکن داد کلّی مینبینی
بقدر عقل خود گوئی ز دیدار	ولی دانم نه مستی و نه هشیار
بقدر عقل اینجاگه سخن گوی	چو نتوانی تو بردن در سخن گوی
بقدر عقل میگوئی که یارت	درونم لیک جان ناپایدارت
بقدر خود توانی راه بردن	مر این راه بایدت ازجان سپردن
بقدر خود توانی دوست دیدن	چنان کاینجا جمال اوست دیدن
بقدر خود تو ره بردی جلالش	که تا بوئی بیابی ازوصالش
بقدر خود تو ره بردی دل و جان	که تا بنمایدت مر روی جانان
بقدر خود نظر کن سوی پرده	که خود هستی تو اینجا راه برده
