الا ای کارفرمای معانی	بگستر سایهٔ صاحب قرانی
چو داری عالم تحقیق در راه	ز عالم آفرین توفیق در خواه
چو تودر وقت خود همتا نداری	هنر داری چرا پیدا نیاری
چو در باب سخن صاحبقرانی	چرا ای خوش زبان خامش زبانی
چنان خوشگوی شو کز هر زبانی	برآید بانگ احسنت از جهانی
خموشی را بگویایی قضا کن	زبان بگشای و خاموشی رها کن
چنان نوع سخن را جلوه گر باش	که نطقت طوطیی خواند شکرپاش
چو دُرّ و گوهر منثور داری	چرا از سلک نظمش دور داری
همه آن خواهمت کاسرار گویی	نه کم گویی و نه بسیار گویی
ز بحر قلزم پر دُرّ خاطر	بغواصی برون آری جواهر
توان کردن بهر بیتی صنیعت	ولی از وی بگیرد هر طبیعت
صنیعت را برای خویشتن گوی	حکایت را برای انجمن گوی
سخن قوت دل هر خرده دانست	ولی صنعت سخن را جان جانست
کنون هم جان جان هم قوت دل به	حکایت با صنیعت معتدل به
کراماندست نسّاخ جهان را	که بنویسد بزر این داستان را
بزرگانی که بر گردون رسیدند	بزر بر لوح گردون مینویسند
بعهد من اگر نوگر کهن هست	سخن دزدان این شیرین سخن هست
ندارد کس سخن هرگز درین دست	بحق حق که بنگر تا چنین هست
فرو دیدن باسرار کهن من	کشیدم روغن از مغز سخن من
کتاب افسانه گفتن را چه خوانی	چنان خوان کانچه میخوانی بدانی
چو این سحر حلالست ای یگانه	حرامت باد اگر خوانی فسانه
هر آن عاشق که پر عشقست جانش	بود معشوق نغز این داستانش
هر آن شاعر که بی بهر اوفتادست	چو این برخواند او را اوستادست
هران عارف که دارد همدمی دور	برون گیرد از اینجا عالمی نور
پس از من دوستان را بوستانست	که الحق داستانی دلستانست
بنام خسرو روی زمین را	نهادم نام خسرونامه این را
خداوندا زهر در دُرّ بسیار	بسی سُفتم نگهدارش ز اغیار
بدُرج دل رسان دُرّ شب افروز	بچشم عقل روشن دار چون روز
ز چشم کور چشمان دور دارش	بچشم اهل بینش نور دارش
چنان این حرفها را دار همپشت	که کس ننهد برین یک حرف انگشت
نهفته دارش از مشتی فسونگر	درون هردلش از بد برون بر
شبی خوشتر زنوروز بهاری	خوشی میتافت مهتابی بزاری
دران شب مشتری از قوس میتافت	جهان از نور چون فردوس میتافت
بدست زهره جام می سراسر	ستاده مشتری را در برابر
کواکب را نظرهای دلفروز	خواطر را بحکمت مشکل آموز
نشسته بودم و شمعی نهاده	جماعت سوی من سمعی گشاده
دماغم مغز پالودن گرفته	خیال عشق پیمودن گرفته
زهر نوعی سخن گفتیم بسیار	زهر علمی بسی راندیم اسرار
بآخر چون باشعار اوفتادیم	ز کار رفته در کار اوفتادیم
رفیقی داشتم عالی ستاره	دلی چون آفتاب وشعر باره
ز شعر من چو بیتی گوش کردی	ز مهرم خویش را بیهوش کردی
چو کردی بار دیگر آن تفکّر	چو صوفی رقص کردی از تحیر
ز شعرم یادداشت از طبع داعی	همه مختار نامه از رباعی
ز گفت من که طبع آب زرداشت	فزون از صد قصیده هم ز برداشت
غزل قرب هزارو قطعه هم نیز	ز هر نوعی مفصّل بیش و کم نیز
جواهرنامهٔ من بر زبان داشت	ز شرح القلب من جان بر میان داشت
چو ازدیوان من بیتی بخواندی	چگویم من که چون واله بماندی
بمن گفتی که ای هر نکته جانی	نداری هیچ تحسین را زیانی
بدان دریا که دُرّش جان پاکست	اگر تحسین رود ورنی چه باکست
چنین دریا ز دُر پیوسته پُرباد	نثار هر دُری صد دانه دُر باد
درین شب این رفیقم بود در بر	چو شمع از آتش دل دود بر سر
بمن گفت ای بمعنی عالم افروز	چنین مشغول طب گشتی شب و روز
طب از بهر تن هر ناتوانست	ولیکن شعر وحکمت قوت جانست
سه سالست این زمان تالب ببستی	بزهد خشک در کنجی نشستی
اگرچه طب بقانونست امّا	اشاراتست در شعر و معمّا
چو پر کردی ز هر چیزی جهان را	هم امشب ابتدا کن داستان را
که من از بدر اهوازی هم امروز	بدست آوردهام نثری دلفروز
بغایت داستانی دلپسندست	ز هر نوعی سخنهای بلندست
چو بیشک بی نظیری در سخن تو	سخن گویی خویش اظهار کن تو
ببین خورشید را در چار پرده	فروغ خویشتن اظهار کرده
کسی را چون بود خطّی روانه	روانه به که باشد جاودانه
چو صاحب سرّی این اسرار را باش	مگردان ناامیدم کار را باش
بسی پیشینیان افسانه گفتند	چو تو گفتند نه حقّا نگفتند
که از گفتن صفای سینه باشد	چو دقیانوسی و دیرینه باشد
هران شعری که عمر نوح دارد	چو عیسی کی همه تن روح دارد
خوشی در سلک کش دُر سخن را	بمعنی نو کن این جان کهن را
چه گر از قصّه گفتن عار داری	ولیکن عالمی اسرار داری
تو منگر قصّه، اسرار سخن بین	سخن گفتارو گفتار سخن بین
بغایت حق تعالی خوب گوید	حدیث یوسف و یعقوب گوید
که مخلوقی ز مخلوقی چنین شد	یکی عاشق ز معشوقی چنین شد
حدیث هر دو تن گر بیش خوانی	ازان حق گفت تا برخویش خوانی
تو نیز این را فسون ساز و بهانه	توان دانست افسون از فسانه
سخن گفتن چو بر جایی توان گفت	بلاشک بایدت این داستان گفت
جهانی راز داری در میان آر	همه در لفظ کوش و در بیان آر
که گر یک بیت بنشیند بجایی	همه کارت براید از دعایی
چو من زان دوست پاسخ این شنیدم	شدم شوریده چون شیرین شنیدم
چو بر من الحق او حق داشت بسیار	پذیرفتم سخن زان مرد هشیار
قلم را سر برون دادم ز پنجه	بماندم همچو کاغذ در شکنجه
چه میگویم که هر بیتی که گفتم	چو گل از شادی او برشکفتم
نهادم سر بکاغذ بر شب و روز	قلم راندم بدرُهای شب افروز
حکایت گفتم و دوشیزه گفتم	معانی گفتم و پاکیزه گفتم
قرین نور پاک آن پاک رایی	که این گوینده راگوید دعایی
