جهان معرفت دریای عرفان	امیرالمؤمنین عثمان عفّان
حیابحریست کورا پاو سر نیست	ولی دروی به جز عثمان گهر نیست
کسی در صحبت قرآن همیشه	حیا چون نبودش پیوسته پیشه
دلش در علم و تقوی عالمی پاک	نبی را و ُنبی را همدمی پاک
نکویی با پیمبر بی عدد کرد	بسی در ساعة العسرش مدد کرد
بدامادی پیمبر بر گزیدش	مکن ردّش چو پیغمبر گزیدش
چو او مقبول قرآن و رسولست	ترا گر نیست مغزت بر فضولست
چنان آن گوهر پاکش صفا داشت	که در دریای قرآن آشنا داشت
دل پاکش چو جان پاک در باخت	بپاکی با کلام پاک در ساخت
بهر حرفی که از قرآن بخواندی	ز سرّش صدورق از جان بخواندی
ولی تا یک ورق از جان گرفتی	جهانی علم از جانان گرفتی
بمعنی حرف او بودی جهانی	ز کاف و نون ترا این بس نشانی
جهانی چون زهر حرفی درون داشت	ببین تا وسعت جان چند و چون داشت
ز یک یک نقطهٔ قرآن چنان بود	که نقطه نقطه چشمش خون فشان بود
ز هر نقطه که در اسرار میگشت	بگرد نقطه چون پرگار میگشت
چو عثمان کرد آن بنیاد آغاز	ثواب جمله میگردد بدو باز
