سپهر معرفت خورشید انور	امیرالمؤمنین کرّار صفدر
امام مطلق ارباب بینش	بدانش آفتاب آفرینش
چو او شیر حق آمد داغ حق داشت	بمردی و جوانمردی سبق داشت
اسد چون خانهٔ خورشید باشد	علی کالشمس ازو جاوید باشد
چو اصل اهل بیت افتاد حیدر	بلی بایست شهر علم رادر
چو شهر علم دین پیغمبر آمد	اگر بابیست آن را حیدر آمد
چو بیت آفتاب ذوالجلالست	گرش شیر خدا خوانی حلالست
چنین گفت او که در دین حق تعالی	مرادادست در علم آن کمالی
که گردرباء بسم اللّه ز اسرار	کنم تضیف بیش از ده شتروار
بهر حرف از کلام صانع پاک	کنم هر دم هزاران معنی ادراک
چو دنیا را طلاقی داد جانش	مگر انگشتری ماند از آنش
خداوندش یکی سایل فرستاد	که آمد در نمازش پیش،‌ استاد
که در دین تو دنیا بند جانست	تو میدانی که این خاتم از آنست
چو شد زین سرّ عالی سرفراز او	بسایل داد خاتم در نماز او
نمازش را چو خاتم در نگنجید	بجز حق ذرّهیی هم درنگنجید
نمازش چون حضوری معتبر داشت	کی از پیکان برون کردن خبر داشت
کسی کو در حقیقت تشنه جانست	که کلّی سیر از کار جهانست
اگر آبیش میباید که جان خورد	ز دست ساقی کوثر توان خورد
عزیزی کو دو چشم راه بین داشت	سه روح ازچاریار راستین داشت
ترا از زهر بدعت گر گزندست	همین تریاق اربع سودمندست
