جملهٔ پرندگان روزگار	قصهٔ پروانه کردند آشکار
جمله با پروانه گفتند ای ضعیف	تا به کی در بازی این جان شریف
چون نخواهد بود از شمعت وصال	جان مده بر جهل، تا کی زین محال
زین سخن پروانه شد مست و خراب	داد حالی آن سلیمان را جواب
گفت اینم بس که من بی‌دل مدام	گر درو نرسم درو برسم تمام
چون همه در عشق او مرد آمدند	پای تا سر غرقهٔ درد آمدند
گرچه استغنی برون ز اندازه بود	لطف او را نیز رویی تازه بود
حاجب لطف آمد و در برگشاد	هر نفس صد پردهٔ دیگر گشاد
شد جهان بی او حجابی آشکار	پس ز نور النور در پیوست کار
جمله را در مسند قربت نشاند	بر سریر عزت و هیبت نشاند
رقعهٔ بنهاد پیش آن همه	گفت بر خوانید تا پایان همه
رقعهٔ آن قوم از راه مثال	می‌شود معلوم این شوریده حال
