خسروی روزی غلامی میخرید	کافتابش پیش مرکب میدوید
در نکو روئی کسی همتا نداشت	شد ز پهنا سرو کان بالا نداشت
چون ببالا سرو وار استاده بود	سرو او را بندهٔ آزاده بود
از رخ او هم قمر در وی گریخت	وز لب او هم شکر درنی گریخت
آفتابی بود از سر تا بپای	کس ندیدست آفتابی در قبای
گر سخن گفتی گهر میریختی	ور بخندیدی شکر میریختی
صد هزاران عاشقش درکوی بود	زانکه روی آن بود چون آن روی بود
کافر زلفش که از وی دین شدی	حلقهٔ او از در صد چین شدی
نرگسش بادام را دو مغز داشت	کافری و جادوئی نغز داشت
چون نمودی از صدف در عدن	عقل را دندان شکستی در دهن
چون گشادی درج لعل از خنده باز	مردهٔ صد ساله گشتی زنده باز
گر سخن گویم ز تنگی دهانش	درنگنجد هیچ موئی جز میانش
آفتاب از شرم او رخ زرد بود	صبح را از شوق او دم سرد بود
موسم خوش بود و ایام بهار	نازنینان چمن را روز بار
روی صحرا جمله رنگارنگ بود	سبزه بسیاری و عالم تنگ بود
بلبل شوریده میگردید خوش	پیش گل میگفت راه خارکش
هم گل نازک لبی پرخنده داشت	هم بنفشه سر ببر افکنده داشت
یاسمین را یک زفان افزون فتاد	زان ز تنگی دهان بیرون فتاد
نرگس تر طشت زرین بردماغ	چشم بگشاده خوشی بر روی باغ
گنج قارون بازبر افتاده بود	آب خضراندر حضر افتاده بود
در چنین وقتی چنین زیبا رخی	میندانم تا توان زد شه رخی
شاه را عزم چنین شه رخ فتاد	عزم جشنی تازه و فرخ فتاد
چون میاه باغ جشن آراستند	آن غلام سیمبر را خواستند
در میان جشن شاه نیک نام	خواست تا گستاخ گردد آن غلام
گفت ساقی را که یک ساغر شراب	پیش او بر تاچسان آید ز آب
برد ساقی پیش اودر حال جام	سر ببالا برنیاورد آن غلام
شه اشارت کرد حاجب را که خیز	تو بدوده جام و گو در جانت ریز
می ز حاجب نستد آن بدر منیر	شاه گفتا هست این کار وزیر
برد پیش او وزیر شاه جام	عاقبت هم جام ازو نستد غلام
شاه برخاست و بدست خویشتن	برد جامی پیش سرو سیمتن
هم بنستد زو و تن میزد خموش	زین سبب خون وزیر آمد بجوش
گفت آخر جام نستانی ز شاه	بی ادب تر از تو نبود در سپاه
شاه بر پا و تو سرافکندهٔ	بندگی را راستی زیبندهٔ
آن غلام آواز داد آن جایگاه	گفت ازان در پیش من استاد شاه
کز کسی نگرفتهام البته جام	فخر من خود تا قیامت این تمام
گر ز هرکس جام می بستانمی	کی چنین شایستهٔ سلطانمی
از خموشی بد نمیافتد مرا	نیک تر زین خود نمی افتد مرا
چون نیامد جام اول در خورم	شاه استادست آخر بر سرم
گر باول جام قانع گشتمی	از وزیر و شاه ضایع گشتمی
گر کند فانی و یا باقی مرا	تا ابد شه بس بود ساقی مرا
شاه گفتالحق غلامی درخورست	خلق او از خلق او نیکوترست
روی خوب و همت عالیش هست	با چنین کس جاودان باید نشست
هرکه از همت درین راه آمدست	گر گدائی میکند شاه آمدست
