بامدادی رفت ابلیس لعین	تا بدرگاه نبی العالمین
هم ز سلمان هم ز حیدر بارخواست	برنیامد کوژ رورا کار راست
گفت پیغامبر که او را بار نیست	گو برو کو را بر من کار نیست
کی بود ابلیس ملعون مرد من	یا تواند دید هرگز گرد من
عاقبت جبریل میآمد دوان	گفت ره ده آن لعین را یک زمان
تا غم مهجوری خود گویدت	حال درد دوری خود گویدت
راه دادش سید و صدر انام	چون درآمد کرد سید را سلام
گفت میدانم که نوشت باد نوش	این که تو رفتی سوی معراج دوش
سیدش گفتا که رفتم ای لعین	گفت دیدی عرش رب العالمین
گفت دیدم عرش و کرسی و فلک	جملهٔ اسرار و آیات ملک
گفت دیدی عرش را از دست راست	گفت دیدم عالم نور و نواست
گفت دیدی بر چپ عرش اله	وادی منکر بیابانی سیاه
گفت دیدم دور بود از راه من	گفت بود آن دشت مجلس گاه من
گفت دیدی آن علم را سرنگون	آن علم آن منست ای رهنمون
گفت دیدی منبر بشکسته را	حق نهاده بود این دل خسته را
منبرم آن بود مجلس گفتمی	خویش را زر خلق را مس گفتمی
از ملایک هفتصد ره صد هزار	زیر آن منبر گرفتندی قرار
من روایت از خدا میکردمی	یک بیک را آشنا میکردمی
من چه دانستم که بیگانه منم	عاقل ایشانند و دیوانه منم
ظن چنان بردم که هستم دولتی	بیخبر بودم ز طوق لعنتی
لعنتی را پنج حرف آمد شمار	لام و عین ونون و تا و یا کنار
دوش سلطانی که معراجت نهاد	از لعمرک بر سرت تاجت نهاد
پنج حرف آمد لعمرک ای عزیز	لام و عین و میم و راو کاف نیز
پنج آن تست و پنج آن منست	راحت آن تست و رنج آن منست
طوق من پنجست و تاج تست پنج	آن من خاکست و آن تست گنج
گرچه هستی هم رسول و هم امین	طوق من میبین و ایمن کم نشین
زانکه من هرچند هستم هیچ چیز	تاج تو بینم نیم نومید نیز
من نیم نومید تو ایمن مباش	بی نیازی مینگر ساکن مباش
منصبی کاغاز کار ابلیس داشت	قدر آن نشناخت ازان سر میفراشت
چون ازان منصب بخاک افتاد خوار	قدر دان شد لیک داداز دست کار
دیدهٔ خورشید بین خیره بود	آب چون بر در رود تیره بود
