کرد مجنونی بگورستان نشست	مردهٔ را سردرآورده بدست
موی از آن سر پاک برمیکند زود	در میان خاک میافکند زود
سایلی گفتش چه میجوئی ازین	گفت ای غافل چرا گوئی چنین
مینگنجیدست این سر در جهان	لیک موئی در نگنجد این زمان
همچو گوئی کردهای گم پا و سر	این چه سرگردانی است ای بیخبر
بر کنار آی از همه کار جهان	پیش از آن کت در ربایند از میان
هیچ را چون پایداری روی نیست	دشمنی و دوستداری روی نیست
گوئیا آس فلک سود و نسود	هرچه هست ای جان من بود و نبود
روی را چون نیست روی اینجا بدن	فرق نبود زشت یا زیبا بدن
موی را چون نیست در بودن امید	پس کنون خواهی سیه خواهی سپید
گر کسی آمد ببالا بازگشت	قطرهٔ دان کو بدریا بازگشت
غم مخور گر خنده زد برقی و مرد	شبنمی افتاد در غرق و بمرد
کار و بار عالم حس هیچ نیست	تاتوان کوشید زر مس هیچ نیست
زندگی عالم حس عالمی	هست در جنب حقیقت یک دمی
هرچه آن یک لحظه باشد خوب و زشت	من نخواهم گر همه باشد بهشت
