عقل اندر کارسازی جهان	عشق اندر بی‌نیازی جهان
عقل دائم طالب صورت بود	عشق آتش در همه صورت زند
عقل اندر نیستی هست آمده	عشق اندر نیستی مست آمده
عقل نقاشی کند اندر جهان	عشق شهبازی کند در لامکان
عقل هر دم خانه آبادان کند	عشق هر دم خانه‌ها ویران کند
عقل را تقلید باشد دائماً	عشق گشته عارفان را رهنما
عقل اینجا پرده جوی شه شده	عشق دایم رازگوی شه شده
عقل دنیا را کند دایم سجود	عشق خورده غوطه اندر بحر جود
عقل اندر کار خود درمانده است	عشق صد اسرار حق برخوانده است
عقل در تقلید و تسبیح آمده است	عشق در توحید و تفرید آمده است
عقل اندر ناتمامی بازماند	عشق اندر کاردانی پیش راند
عقل اندر سرفرازی آمده است	عشق اندر بی‌نیازی آمده است
عقل اندر جستجوی قیل وقال	عشق شادی می‌کند از شوق حال
عقل اندر فصل صلح این جهان	عشق اندرذات پاک آن جهان
عقل گشته هر زمان نوعی دگر	عشق خود جز حق نداند پا و سر
عقل هر دم در دو رنگی آمده است	عشق محو دوست یک رنگ آمده است
عقل در تقلید خود کامل شده است	عشق از تشریف حق واصل شده است
عقل بنموده بصورت خویشتن	عشق رفته پیش حق از جان و تن
جوهر عشق است بحر لامکان	جوهر عشق است قائم در جهان
جوهر عشق است پیدا ونهان	حادث عشق است این هر دوجهان
جوهر عشق است دریای عظیم	جوهر عشق است رحمان و رحیم
جوهر عشق است ذات پاک حق	این کسی داند که دید آیات حق
