تَــمُرتاشا ز بی‌مهریت زارم	زچون‌تودوست‌ازخودشرمسارم‌
فرامش کرده‌ای جاناکه عمریست	تو را از جان و از دل دوستارم
حضور شه ز یاران غافلت کرد	خصوص از من که یاری پایدارم
اگر تو دوستی رحمت به دشمن	وگر خود دشمنی‌، منت گذارم
گذشته زین تغافل‌ها، شنیدم	که باری هشته ای برروی بارم
عتاب خسروانی خاطرم را	غمین‌دارد، توغمگین‌تر مدارم
من‌آن‌مرغم که‌سیمرغم‌فکندست	به خاک افتادهٔ آن شهسوارم
چو از سیمرغ سیلی‌خورده باشم	رسد بر جمله مرغان افتخارم
چو بلبل در مدیح شاه آفاق	سخن‌ها رفت افزون از شمارم
به تمجیدش بسی نامه نوشته	به توصیفش بسی تصنیف دارم
ز بیم گربگان سفرهٔ شاه	ولی نتوانم آوازی برآرم
به دفع دشمنان پرالتهابم	به‌وصف دوستان بی‌اختیارم
به تحصیل عطایا بی‌نیازم	به تقبیل رزایا بردبارم
به ترویج محامد اوستادم	به تذلیل اعادی کهنه کارم
به کار مملکت نیکو خبیرم	به گاه مشورت نیکو مشارم
زبانم‌پاک‌و چشم‌و دست‌ودل‌پاک	بود مرهون خیر، این هر چهارم
به حفظ‌الغیب یاران عندلیبم	به‌قصدجان خصمان گرزه‌مارم
به روز نطق‌، بحری موج خیزم	به وقت جود، ابری ژانه بارم
به گاه نثر، دانشور دبیرم	به گاه نظم‌، جولانگر سوارم
در انشاء مقالات عمومی	گل صد برگ بر دفتر نگارم
برنده تیغه‌ای بی‌قبضه و جلد	فتاده زبرپای روزگارم
گرم برگیرد از خاک زمین شاه	به دست شاه تیغی آبدارم
چو آهیخیده تیغ کارزاری 	میان در بستهٔ هرکارزارم
ز شه چیزی نخواهم جزتوجه	کزین یک بخش‌، پرگردد کنارم
ز مهر شه علو گیرد خیالم	ز لطف شه کلان گردد قمارم
به وصفش بوستان‌ها بر طرازم	به نامش داستان‌ها برشمارم
ندیدم‌خیری از شاهان قاجار	مگر جبران نماید شهریارم
