فتنه‌ها آشکار می‌بینم	دست‌ها توی کار می‌بینم
حقه‌بازان و ماجراجویان	بر خر خود سوار می‌بینم
بهر تسخیر خشک مغزی چند	نطق‌ها آبدار می‌بینم
جای احرار در تک زندان	یا به بالای دار می‌بینم
ز انتخابات سوء‌، مجلس را	پر ز عیب و عوار می‌بینم
وکلا را به مثل دور ششم	گیج و بی‌اختیار می‌بینم
آلت دست ارتجاع و فاشیست	جملگی را قطار می‌بینم
بعد تصویب اعتبار رنود	کار بی‌اعتبار می‌بینم
چند لوطی زکهنه جاسوسان	روز و شب گرم کار می‌بینم
پیش‌بینی که عاقلان کردند	بعد ازین آشکار می‌بینم
سفها را به کارهای بزرگ	داخل و برقرار می‌بینم
در گلستان به جای کبک و تذور	قنفذ و سوسمار می‌بینم
آن که را داده جان به راه وطن	بی‌سرانجام و خوار می‌بینم
وانکه را برد و خورد و خوش خوابید	شاد و ایران مدار می‌بینم
ملتی را که شد فرامشکار	عاقبت اشکبار می‌بینم
ز انتخاباتشان مسلم گشت	آنچه این جان نثار می‌بینم
چاپلوسان و چاکران قدیم	روی مجلس هوار می‌بینم
خیل بی‌عرضگان جاهل را	داخل کار و بار می‌بینم
ظاهرا شه‌پرست و در باطن	با عدو دستیار می‌بینم
لیک روز بلیه و سختی	همه را در فرار می‌بینم
امتحان را دوبار خوردن زهر	جرم بی‌اغتفار می‌بینم
و آدمی را که ترک تجربه کرد	بی‌تعارف حمار می‌بینم
وانکه ننهاد فرق دشمن و دوست	چاره‌اش انتحار می‌بینم
