ما همه کودکان ایرانیم	مادر خویش را نگهبانیم
همه از پشت کیقباد و جمیم	همه از نسل پور دستانیم
زادهٔ کورش و هخامنشیم	بچهٔ قارن و نریمانیم
پسر مهرداد و فرهادیم	تیرهٔ اردشیر و ساسانیم
ملک ایران یکی کلستانست	ما گل سرخ این گلستانیم
کار ما ورزش‌ است و ‌خواندن درس	همه از تنبلی گریزانیم
چون نیاکان باستانی خویش	راستگوی و درست پیمانیم
مستی و کارهای بی‌معنی	کار ما نیست زانکه انسانیم
همه در فکر ملت و وطنیم	همه در بند دین و ایمانیم
پارسی‌زاده‌ایم و پاک سرشت	کز نژاد قدیم آریانیم
همه از یک‌نژاد و یک خاکیم	گر ز تهران گر از خراسانیم
اول اندر میان مدرسه‌ایم	بعد از آن در میان میدانیم
می‌نمائیم مشق سربازی	روز میدان مطیع فرمانیم
پس از آن درکمال آزادی	پی تحصیل ثروت و نانیم
همه‌ پاکیم و راستگو‌ی‌ و شریف	بی‌خبر از دروغ و بهتانیم
گر دروغی کسی به ماگوید	ما ازو روی خود بگردانیم
همگی اهل صنعت و هنریم	همگی اهل خیر و احسانیم
ازکسی حرف زور نپذیریم	وز کسی مال مفت نستانیم
در تجارت شریک تجاریم	در زراعت رفیق دهقانیم
کار ما صنعت‌ است و علم‌ و عمل	کارهای دگر نمی‌دانیم
حالیا بهر افتخار وطن	ما شب و روز درس می‌خوانیم
