بدرود گفت فر جوانی	سستی گرفت چیره‌زبانی
شد نرم همچو شاخهٔ سوسن	آن کلک همچو تیغ یمانی
نزدیک سیر و کندو کسل شد	آمال دور سیر جوانی
شد خاکسار دست حوادث	آن آبدار گوهر کانی
شد آن عذار دلکش‌، پژمان	گشت آن غرورونخوت فانی
تیر غمم نشست به‌ پهلو	چندان که پشت گشت کمانی
در سی و پنج سالگی عمر	هفتاد ساله گشت امانی
زیرا بهر دو دست‌، زمانه	بر من نواخت پتک نوانی
چون خردسالگان به‌خروشم	زبن سالخوردگی و شمانی
شد هفت سال تا ز خراسان	دورم فکند چرخ کیانی
اکنون گرم ز خانه بپرسند	نارم درست داد نشانی
شهر ری آشیانهٔ بوم است	بوم اندر آن به مرثیه‌خوانی
جای امام فخر نشسته	یزدی و قمی وگرکانی
خام و خر و خبیث گروهی	از زر پخته کرده اوانی
عمال دوزخند وزبانشان	مردم گدازتر ز زبانی
هرلحظه خویش را بستایند	در پردلی و سخت کمانی
آری ستوده‌اند ولیکن	در بددلی و سست گمانی
هر بامداد خانه شودپر	زانبوه دوستان زبانی
چونان که در پژوهش مسلم	صحن سرای و خانه هانی
غیبت کنند و قصه سرایند	در شنعت فلان و فلانی
گیرند حرف از دهن هم	چون در میان کشت‌، سمانی
من در میان خموش نشسته	چون در حجاز ترک کشانی
آن روز را حتم که گریزم	از چنگ آن گروه‌، نهانی
گو یی پی شکست بزرگان	با دهرکرده‌اند تبانی
یارب دلم شکست درین شهر	حال دل شکسته تو دانی
من نیستم فراخور این جای	کاین‌جای دزدی است و عوانی
دزدند دزد منعم و درویش	پستند پست عالی و دانی
سیراب باد خاک خراسان	و ایمن ز حادثات زمانی
در نعمتش مبادکرانه	در مردمش مباد گرانی
آن بنگه شهامت و مردی	آن مرکز امیری و خانی
آن مفتخر به تاج سپاری	آن مشتهر به شاه نشانی
بیرون کشیده ملک به شمشیر	از چنگ باهلی و کنانی
زافغان و روس وترک ستانده	کشور به فر ملک‌ستانی
آن کوهسار دلکش و احتشام	وان دلنشین سرود شبانی
وان شاعران نیکوگفتار	الفاظ نیک و نیک معانی
*‌	*‌
شخصیم گفت کز چه خراسان	برداشت سر به طغیان دانی‌
گفتم که زود زانیه گردد	آن زن که داشت شوهر زانی
جایی که پایتخت بلرزد	از چند تن منافق جانی
نخروشد از چه ملک خراسان	با خون پاک و عرق کیانی
