شب برکشید رایت اسود	لون شبه گرفت زبرجد
شد چیره بر عمائم خضرا	بار دگر علائم اسود
گفتی ز نو سلالهٔ عباس	بردند حق آل محمد
مشرق به رنگ سوسن بری	مغرب به رنگ ورد مُورد
در یک کرانه‌، پردهٔ ماتم	در یک کرانه‌، خونین مشهد
بازیگر شب آمد و افراخت	آن خیمهٔ سیاه معسجد
و آن مرده‌ریگ‌های کهنسال	کش بازمانده از پدر و جد
وز هرکرانه لعبتکان را	آورد و برنشاند به مسند
آن‌بایکی‌وشاح موشح	این با یکی قلاده مقلد
زهره نخست بار ز بالا	بنمود همچو دیدهٔ ارمد
مه بر فضول خال نهاده	زانگشت جابجای بر آن خد
کیوان میان به افسون بسته	از حلقهٔ حدید موقد
بهرام کرده پوشش خفتان	از لاله برک و درع ز بسد
وان کهکشان فشانده پیاپی	بر اختران گلاب مصعد
یک سو نموده نعشی پوبا	نه مدفنی پدید و نه مرقد
یک سو نموده نسری طایر	نه منزلی پدید و نه مقصد
گه گه برون فرستد پیکی	ز استاره همچو حبلی ممتد
چون کاتبی که با قلم سرخ	بر صفحهٔ سیاه کشد مد
برخیز و بزمگاه برافروز	ای ماهروی سرو سهی قد
در دلبری مباش جفاکار	در دوستی مباش مردد
دریاب قدر صحبت پیران	ای تندخو جوان معربد
کز نیکوان عتاب و درشتی	نیکو بود ولی نه بدین حد
یزدان نمود حسن و بهارا	بر چهرهٔ تو وقف موبد
زان دیو رشک برد و نهانی	با دست آن دو زلف مجعّد
بنمود تقوی و دل و دین را	در طرهٔ تو حبس مخلّد
بگذاشتم شبی به رخ او	پیچنده چون سلیم مسهد
بودیم در سخن که برآمد	آوازهٔ خروس مغرد
سر زد سپیده از بر البرز	چون برکشیده تیغ مهنّد
گفتی بکرد بیرون‌، موسی	از جیب جامه آن هنری ید
چون اژدهای مخرفه اوبار	چرخ از ستاره کرد مجرد
نه مشتری بماند و نه عوّا	نه نعش و نه جدی و نه فرقد
گیتی خموش و سرد و تهی شد	چون کعبه در ولایت مرتد
نجم سحر ز اوج همی تافت	چون شمعی از میانهٔ معبد
جادوی چرخ ملعبه برچید	گشت زمانه گشت مجدد
گنجشگکان شدند هم‌آواز	چون کودکان به خواندن ابجد
خورشید چیره‌دست بگسترد	زرّ طلا به لوح زبرجد
چون طبع من که شعر طرازد	در مدحت خلیفهٔ احمد
شیر خدا که هست جبینش	تا بشگه ستارهٔ سودد
یزدان نهاده از بر فرقش	دیهیم پادشاهی سرمد
ز او خاسته است جمله فضائل	چون خیزش جموع ز مفرد
باران فضل اوست همه سیل	درباب علم اوست همه مد
ز امواج دانشش دو سه قطره	شد میغ و درچکید به فدفد
یک قطره شد خلیل و کسایی	یک قطره سیبویه و مبرد
درکعبه زاد و شد ز وی اشرف	ز آدم چکید و شد ز وی امجد
گلبن بزاد ورد ولیکن	زان اشرف است ورد مورّد
وز شاخ خاست فاکهه اما	زان شاخ هست فضل وی از ید
دعوی نداشت ورنه ورا بود	همچون قران هزار مجلد
روزی که جست عمرو ز خندق	بسته به خنگ تازی‌، مقود
ازخشم همچو مرگ مجسم	وز هول همچو کوه مجسد
تارک به زیر مغفر فولاد	سینه درون درع مزرّد
زی قوم شد چو رعد خروشان	وز بیم او یلان شده ارعد
شیر خدا ز خیل برآمد	خمیده‌ای به چنگ محدد
با حد تیغ‌، کفر بینداخت	برداشت دین ز خاک بدان حد
نزد حق از نیاز دو گیهان	افزود قدر ضربت آن ید
دست خداش خواند ازین روی	پیغمبر کریم ممجد
زبرا که بود آن دل و آن دست	پیوسته از خدای مؤید
غالی خداش خواند و من آن را	نپذیرم و نه زود کنم رد
چون بنده جویدی ره دادار	باقی نماندی به میان حد
خلق بشر خدای بدان کرد	تا سازدش به خویش مقید
سوی خدای ره برد امروز	مانندهٔ خدای شود غد
حیدر موحدیست خداجوی	وز هرچه جز خدای‌، مجرد
زبن رو ندانمش که چه خوانم	هستم درین میانه مردد
بحث است تا به علم معانی	از مسندالیه و ز مسند
اعدای او به محنت دایم	احباب او به عیش مؤبد
