سر حلقهٔ صاحبدلان حسین	ای سرور عالیجناب من
دارم سخنانی صواب چند	بشنو سخنان صواب من
توخود ملکی برملوک عصر	زین رو به‌تو هست انتساب من
یاد آر که ورزید باب تو	پیوسته ارادت به باب من
شد صرف خلوص و مودتت	سرمایهٔ عهد شباب من
بود ارچه مهیا به فضل حق	از سعی و عمل نان و آب من
لیکن به سرای تو بد ز صدق	پیوسته ایاب و ذهاب من
دیدار تو اصل سرور من	اخلاص تو فصل الخطاب من
در خطهٔ ری بس شباکه بود	در باغ صبا خورد و خواب من
در امر تو بود انقیاد من	وز نهی تو بود اجتناب من
بی‌هیچ طمع مخلص وشفیق	تا آن که ببردی کتاب من
چون حبس شدم نامه کردمت	باشدکه فرستی حساب من
ز انصاف مرمت کنی بفور	بنیاد وجود خراب من
وندر حق اطفال من کنی	لطف و پدری در غیاب من
ظنم به خطا رفت کامدی	فارغ ز عذاب و عقاب من
چون‌سوی‌صفاهان شدم ز حبس	گشتی غمی از فتح باب من
بس نامه فرستادم و پیام	یک نامه ندادی جواب من
هرگز نسزد از تو رادمرد	کافیون کنی اندر شراب من
زیبنده نباشد اکرکند	سیمرغ تو قصد ذباب من
با گنج کتابی که مر توراست	بندی طمع اندرکتاب من
