پادشاها همی نگویی هیچ	نامهٔ نغز نوبهار کجاست
آن که می‌داد مدح خسرو را	در همه گیتی انتشار کجاست
آن که با مهر شاه گیتی داشت	بر همه گیتی افتخار کجاست
آن که از دشمنان شاه نخواست	زر و نفروخت اعتبارکجاست
آن که درپیشگاه ملت و ملک	داشت جان از پی نثارکجاست
آن که‌در دهر زن طبیعت داشت	خوی مردان نامدار کجاست
زینهارش قضا نداد و کسی	کز قضا جسته زبنهارکجاست
تیره‌بختی به دادخواهی گفت	عدل‌سلطان کامکارکجاست 
گنه او گرفت دامن من	همچو من کس گناهکار کجاست
شهریارا ستم شدست به من	رأفت شاه تاجدار کجاست
گیرم این جرم از منست آخر	عفو و اغماض شهریار کجاست
