صبا شبگیرکن از خاورستان	به آذربایجان شو، بامدادان
گذر کن از بر کوه  سهندش	عبیرآمیز کن پست و بلندش
بچم بر ساحل سرخاب رودش	بده از چشم مشتاقان درودش
غبار وادیش را تاج سر کن	سرابش را ز آب دیده تر کن
بهر سنگی که نقش عشق دیدی	ز هر خاکی که بوی خون شنیدی
به زاری گریه کن بر آن سیه‌سنگ	به جای ما ببوس آن خاک گلرنگ
سوی آذرگشسب آنگه گذرکن	در آن آتشکده خاکی بسرکن
چو دیدی اندر آن ایوان مطموس	روان کیقباد و جان کاوس
بگو ای شهریاران جوان‌بخت	سزای افسر و شایستهٔ تخت
نه این اقلیم آذربایجان بود؟‌!	که فرخ نام آن «‌شاه آستان‌» بود!!
شهنشاهان اکباتان و استخر	همی‌جستند ازین‌ در، ‌عزت ‌و فخر
به‌سالی یک کرت بیرون شدندی	نیایش را به این خاک آمدندی
به‌عهدکورش اینجا جیشگه بود	قراول گاه و اردوگاه شه بود
کنون از بازی شاه و وزیرش	به چنگ یاغیان بینم اسیرش
فرو پیچیده دست زورمندش	به خاک افتاده بالای بلندش
زده دست خیانت بر زمینش	به خون آغشته جسم نازنینش
شده دانشورانش زینت دار	پلنگانش زبون گرک وکفتار
بهٔک‌ره کنده شد چنگال تیزش	سترون کشت خاک مردخیزش
بجز خون جوانان رشیدش	نروید لاله از خاک امیدش
بجز خونابهٔ قلب حزینش	نبینی نقش غیرت بر زمینش
غرابی رفته در باغی نشسته	به‌جای بلبلی‌، زاغی نشسته
چو شیران‌را فرامش گشت ‌شیری	کند روباه حیلت گر دلیری
صمد خان باکدامین چشم بیند	که جای شاه کیخسرو نشیند
بدرّد کوه اگر جای پلنگی	به سنگی برجهد روباه لنگی
بسوزد باغ اگر جای تذروی	نشیند خربطی برشاخ سروی
صبا زانجا به سوی ری گذرکن	وزبران را ز کار خود خبرکن
بگو شادان‌، دل غمناکتان باد	دوصد رحمت به‌جان‌پاکتان باد
بیاکندید چشم مرد و زن را	فرو بستید بار خویشتن را
زکف‌دادید ملکی را که خورشید	به‌ ایران دیده بود از عهد جمشید
اگر ایران شود باغ جنانی	نبیند همچو آذربایجانی
شما این ملک را معیوب کردید	خداتان ‌اجر بخشد خوب کردید!
