به نام برازندهٔ نام‌ها	کز آغازها داند انجام‌ها
خداوند عرش و خداوند فرش	گرایندهٔ هر دو گیتی به عرش
فروزندهٔ عقل و جان و سخن	برازندهٔ این جهان کهن
ز دور اندربن پهنهٔ بیکران	چو بینی بر این تافته اختران
تو گویی که آنان به یکجا درند	همه زآسمان بر زمین بنگرند
همی دان که هر اختری بی گمان	زمین است و آن دیگران آسمان
ز هر اختری به آسمان بنگری	همین پهنهٔ بیکران بنگری
درین حقه هر اختری مهره‌ایست	ز بازی به هر مهره‌ای بهره‌ایست
درون یکی حقهٔ لاجورد	شتابان بسی مهرهٔ گِرد گرد
ز چاکی پنجهٔ مهره‌باز	یکی در نشیب و یکی در فراز
در این ‌پهنه ‌آشوب ما و تو چیست	که ما و تویی اندرین پهنه نیست
بسیط زمین با همه آب و تاب	بود جزئی از پیکر آفتاب
همو هست از ذره‌ای پست‌تر	بر پیکر آفتابی دگر
همان آفتاب دگر بی‌گمان	بود جزئی از پیکر آسمان
بود آسمان پرتوی بی‌قرار	ز اندیشهٔ ذات پروردگار
به گیتی درون ما و تو چیستیم	اگر هستی اینست ما نیستیم
زمانه کز اومان سراسر گله ‌است	وز اخترش ‌در هر دلی ولوله است
فروزندهٔ مهر و ماه است و بس	کمین بندهٔ پادشاهست و بس
من و تو چو کرمیم و همچون گیاه	به بستانسرای یکی پادشاه
اگر این گیا مرد و آن کرم زیست	به بستانسرای ملک جرم نیست
بکوش ای گیا تا درختی شوی	به باغ امل نیک‌بختی شوی
که بر تو بسوزد دل باغبان	به چشم اندر آییش روز و شبان
نگر تا چه گفته ‌است استاد طوس	بدانجاکه از مرگش آید فسوس
«‌یکی مرغ بر کوه بنشست و خاست‌»	«‌نه‌افزود برکوه ‌و نز وی بکاست‌»
«‌من آن مرغم و این جهان کوه من‌»	«‌چو مردم جهان را چه اندوه من‌»
سخن کرده کوته وگرنه جهان	نه کوهست و مردم نه ‌مرغی بر آن
به کوهی که‌خورشیدازآن‌د‌ره‌ایست‌	بسیط زمین کمتر از ذره‌ایست
من و تو برین ذره باری که‌ایم	درین کبریا و منی بر چه‌ایم
بزرگی چنانست و خردی چنین	بزرگست ذات جهان‌آفرین
برو سعی کن تا چو گل در بهار	بخندی به رخسارهٔ روزگار
مشو بی‌بها ژاژ و بی‌برگ خس	که در بوستان‌ها نیایی به کس
میاموز آیین ناپاک خار	که جز سوختن را نیایی به کار
‌بدین‌خردی ای کودک پوی‌پوی 	چه خیزی که ناگه درافتی به‌روی
بیندیش و آهنگ بیشی مکن	جوانی بباید تو پیشی مکن
ز بیشی و پیشی دلت خون شود	دو چشمانت مانند جیحون شود
طلایه کند پیشرو را سراغ	خورد میوهٔ پیشرس را کلاغ
