محبت ستمگر نباشد نباشد	وفا زحمت‌آور نباشد نباشد
دل جمع مهری‌ست برگنج اقبال	اگرکیسه پر زر نباشد نباشد
شکوهی که دارد جهان قناعت	به خاقان و قیصر نباشد نباشد
دلی می‌گدازم به صد جوش مستی	می‌ام گر به ساغر نباشد نباشد
در افسردنم خفته پرواز عنقا	چو رنگم اگر پر نباشد نباشد
هوس جوهر تربیت نیست همت	فلک سفله‌پرور نباشد نباشد
چه حرف است لغزش به رفتار معنی	خطی‌ گر به مسطر نباشد نباشد
به جایی‌ که باشد عروج حقیقت	اگر چرخ و اختر نباشد نباشد
چنان باش فارغ ز بار تعلق	که بر دوش اگر سر نباشد نباشد
یقینی که از شبههٔ دوربینی	لب یار کوثر نباشد نباشد
به‌ خویش‌ آشنا شو چه‌ واجب چه‌ ممکن	عرض را که جوهر نباشد نباشد
پیامی‌ست این اعتبارات هستی	که هرجا پیمبر نباشد نباشد
از آن آستان خواه مطلوب همت	که چیزی بر آن در نباشد نباشد
ز اعداد خلق آن چه وامی‌شماری	اگر واحد اکثر نباشد نباشد
اثر نامدارست‌، ز آیینه مگذر	گرفتم سکندر نباشد نباشد
چه دنیا چه عقبا خیالست بیدل	تو باش این و آن‌ گر نباشد نباشد
