اینکه طاقت‌ها جوانی می‌کند	ناتوانی‌، ناتوانی می‌کند
گر همه خاک از زمین‌گردد بلند	بر سر ما آسمانی می‌کند
بسکه فطرتها ضعیف‌ افتاده است	تکیه بر دنیای فانی می‌کند
نیست‌کس اینجاکفیل هیچکس	زندگی روزی‌رسانی می‌کند
عصمت از تشویش دنیا جستن است	نفس را این قحبه، زانی می‌کند
در تب و تاب نفس پرواز نیست	سعی بسمل پرفشانی می‌کند
قید هستی پاس ناموس دل است	بیضه‌داری آشیانی می‌کند
از چه خجلت صفحه‌ام آتش زند	چون عرق داغم روانی می‌کند
هرکه را دیدم درین عبرت‌سرا	بهر مردن زندگانی می‌کند
بی دماغم‌، غیر دل زین انجمن	هرچه بردارم گرانی می‌کند
آنقدر از خود به یادش رفته‌ام	کاین جهانم آنجهانی می‌کند
هیچ می‌دانی که‌ام ای بی‌خبر	شاه ما را پاسبانی می‌کند
کلک بیدل هرکجا دارد خرام	سکته هم ناز روانی می‌کند
