تاآینه‌روبروی ما بود	گلچین بهار کهربا بود
یاد دم عشرتی‌ که چون صبح	آیینهٔ ما نفس‌نما بود
فریاد شکسته‌رنگی ما	عمری چو نگاه سرمه‌سا بود
شد عجز حجاب ورنه از دل	تاکوی تو راه ناله وابود
آیینه چه سان ‌گرفت حیرت	ازعکس تو دست در حنا بود
جوشید ز شعلهٔ تو داغم	سرچشمهٔ عجز،‌ کبریا بود
در راه تو هرچه از غبارم	برداشت فلک‌ کف دعا بود
هر آه ‌که برکشیدم از دل	چون موج به ‌گوهر آشنا بود
دل نیز چو سینه استخوان داشت	تا یاد خدنگ او هما بود
بشکست دل و نکرد آهی	این شیشه عجب تنک‌ صدا بود
خون شد دل و ساغر چمن زد	میخانهٔ ماگداز ما بود
بیدل تاجی ‌که دیدی امروز	فردا بینی نشان پا بود
