غباریم زحمتکش بادها	به وحشت اسیرند آزادها
املها به دوش نفس بسته‌ایم	سفریک قدم راه و این زادها
جهان ستم چون نیستان پر است	ز انگشت زنهار فریادها
به هر دامی از آرزو دانه‌ای‌ست	گرفتار خویشند صیادها
برون آمدن نیست زین آب وگل	بنالید ای سرو و شمشادها
فسردن هم آسوده جان می‌کند	به هر سنگ خفته‌ست فرهادها
غنیمت شمارند پیغام هم	فراموشی است آخر این یادها
بد ونیک تاکی شماردکسی	جهان است بگذر ز تعدادها
چه‌خوب‌و چه‌زشت ازنظر رفته‌گیر	پری می‌زنند این پریزادها
به پیری ستم‌کرد ضعف قوی	مپرسید از این خانه آبادها
به صید نقب ازین بیش نشکافتیم	که تا آب و خاک است بنیادها
ز نقش قدم خاک ما غافل است	همه انتخابیم ازین صادها
نوی بیدل از ساز امکان نرفت	نشد کهنه تجدید ایجادها
