طاب روح النسیم بالاسحار	این دورالندیم بالادوار؟
در خماریم کو لب ساقی؟	نیم مستیم کو کرشمهٔ یار؟
طره‌ای کو؟ که دل درو بندیم	چهره‌ای کو؟ که جان کنیم نثار
غمزهٔ یار مست و ما مخمور	لعل او تابدار و ما هشیار
خیز، کز لعل یار نوشین لب	به کف آریم جام نوش گوار
که جزین باده بار نرهاند	نیم مستان عشق را ز خمار
در سر زلف یار دل بندیم	که به روز آید آخر این شب تار
زیر هر تار مو نظاره کنیم	صد هزار آفتاب خوش دیدار
از رخش کافتاب، ذرهٔ اوست	بر فروزیم ذره‌وار عذار
تا همه نور آفتاب بود	نبود بیش ذره را آثار
در چنین حال شاهد توحید	ننماید به عاشقان دیدار
به حقیقت یقین کنند که نیست	جز یکی در جهان جان دیار
نور وحدت چو آشکار شود	متواری شود جهان ناچار
در جهان ذره در فضای قدم	نور او آفتاب ذره شکار
ای دریغا! که پرتوی بودی	زانچه روشن شدی ازین گفتار
تا در آیینهٔ معاینه‌ام	تافتی عکس نور این اسرار
چون مرا زین بهار بویی نیست	چه کنم وصف بوستان بهار؟
چشم خفاش را چه از خورشید؟	مرغ محبوس را چه از اشجار؟
چون که همرنگ آفتاب شویم	شاید آن لحظه گر کنیم قرار
کاشکار و نهان او ماییم	لیس فی‌الدار غیره دیار
ور نشد زین بیان تو را روشن	جام گیتی‌نمای را به کف آر
کاش بودی به جای دم قدمی	یا ظهوری به جای این اظهار
یا در اول نهان شدی آخر	یا در انوار طی شدی اطوار
تا عراقی جان رسیده به لب	باز رستی ز دست خود یک بار
گر ببودم نبود پیوستی	کردمی آن نفس به جان اقرار
تا ببینی درو که جمله یکی است	خواه یکصد شمار و خواه هزار
هر پراکنده‌ای که جمع شود	بر زبانش چنین رود گفتار
اگر عراقی زبان فرو بستی	آشکارا نگشتی این اسرار
