حبذا صفهٔ بهشت مثال	برترین آسمانش صف نعال
مجلس نور و جلوه‌گاه سرور	روضهٔ انس و بارگاه وصال
بیت معمور او مقر شرف	سقف مرفوع او سپهر جلال
غرفش خوشتر از ریاض بهشت	شرفش خوشتر از شکوه کمال
زین گرفته بها مدارج قدس	یافته زان بهشت زیب جمال
در بستاتین بی‌نهایت او	سدرةالمنتهی هنوز نهال
بر سر خوان عالم‌آرایش	آفریننش طفیل و خلق عیال
آفتاب صفای صفهٔ او	ایمن از وصف کسوف و زوال
ذره‌های هوای غرفهٔ او	سر بسر نور آفتاب مثال
صورت ذره‌های درگه اوست	هر چه بینی درین جهان اشکال
معنی موج‌های برکهٔ اوست	هر چه یابی زمان زمان ز احوال
هر یک از ذره‌های لطف هواش	جام گیتی‌نما به استقلال
هر یک از شعله‌های عکس صفاش	آفتابی است کاینات ضلال
صفحات سطوح بی نقشش	مشتمل بر نقوش حال و مآل
نفحات ریاض جان بخشش	مرده را زنده کرده اندر حال
تا نسیم هواش یافت ملک	مرده را زنده کرده اندر حال
تا صریر درش شنید فلک	بر درش چرخ می‌زند همه سال
در هوای درست او نبود	هیچ بیمار جز نسیم شمال
در ریاض لطیف او نرود	هیچ تر دامنی جز آب زلال
در نیابند نقش این خانه	نقشبندان کارگاه خیال
عقل اگر چه ز خانه بیرون نیست	هم نیابد درون خانه مجال
نام آن خانه می نیارم گفت	از پی عقل و العقول عقال
خود تو از پیش چشم خود برخیز	تا ببینی عیان به دیدهٔ حال
خویشتن را درون آن خانه	بر سریر سعادت و اقبال
مطرب عشق برکشید سرور	وصل را داد جام مالامال
چون عراقی همه جهان سرمست	از می وصل و بی‌خبر ز وصال
