دوش مانا شنید فریادم	کرد بیمار پرسشی بادم
من هم از روی باد پیمایی	نفسی با نسیم بگشادم
با دلش رمزکی فرو گفتم	به کف او پیامکی دادم
گفتم: ار چه تو نیز بیماری	خبری ده ز صحت آبادم
نفسی از دم مسیح دمی	به من آور، که نیک ناشادم
بر سرم سنگ جور از چه رسد	بی‌محابا، مگر ز اوتادم؟
همچو غنچه چرا به بند کنند	چون ززر همچو سوسن آزادم؟
نرمکی باد گفت در گوشم:	خود گرفتم که در ره افتادم
بر چهار فلک چگویم روم؟	بر سر خود چو پای ننهادم
کی چنان جای در شمار آیم؟	من یکی گوشه گرد آحادم
خود تو انگار لحظه‌ای رفتم	بر در او به خدمت استادم
که گذارد مرا به صدر بهشت؟	که کند در طریق ارشادم؟
گفتم: ای باد، باد کم‌پیمای	که من از باد خود به فریادم
بی تکاپوی تو در آن حضرت	پیک امید را فرستادم
همتی بسته‌ام که از ره لطف	به عیادت کند دمی یادم
ای مسیحا نفس، بیا، نفسی	تا رسد از دم تو امدادم
باد انفاس تو شفا ده خلق	تا نفس می‌زند بنی آدم
