طاب روح‌النسیم بالاسحار	این دورالندیم بالانوار
در خماریم، کو لب ساقی؟	نیم مستیم کو کرشمهٔ یار؟
طره‌ای کو؟ که دل درو بندیم	چهره‌ای کو؟ که جان کنیم نثار
خیز، کز لعل یار نوشین لب	به کف آریم جان نوش گوار
که جزین باده بار نرهاند	نیم مستان عشق را ز خمار
در سر زلف یار دل بندیم	تا به روز آید آخر این شب تار
ز آفتابی که کون ذرهٔ اوست	بر فروزیم ذره‌وار عذار
چون که همرنگ آفتاب شویم	شاید آن لحظه گر کنیم اقرار
کاشکار و نهان همه ماییم	«لیس فی‌الدار غیرنا دیار»
ور نشد این سخن تو را روشن	جام گیتی‌نمای را به کف آر
تا ببینی درو، که جمله یکی است	خواه یکصد شمار و خواه هزار
هر پراگنده‌ای، که جمع شود	بر زبانش چنین رود گفتار
گر عراقی زبان فرو بستی	آشکارا نگشتی این اسرار
اکئوس تلاء لات بمدام	ام شموس تهللت بغمام؟
از صفای می و لطافت جام	در هم آمیخت رنگ جام و مدام
همه جام است و نیست گویی می	یا مدام است و نیست گویی جام
چون هوا رنگ آفتاب گرفت	هر دو یکسان شدند نور و ظلام
روز و شب با هم آشتی کردند	کار عالم از آن گرفت نظام
گر ندانی که این چه روز و شب است؟	یا کدام است جام و باده کدام؟
سریان حیات در عالم	چون می و جام فهم کن تو مدام
انکشاف حجاب علم یقین	چون شب و روز فرض کن، وسلام
ور نشد این بیان تو را روشن	جمله ز آغاز کار تا انجام
جام گیتی‌نمای را به کف آر	تا ببینی به چشم دوست مدام
آفتاب رخ تو پیدا شد	عالم اندر تفش هویدا شد
وام کرد از جمال تو نظری	حسن رویت بدید و شیدا شد
عاریت بستد از لبت شکری	ذوق آن چون بیافت گویا شد
شبنمی بر زمین چکید سحر	روی خورشید دید و دروا شد
بر هوا شد بخاری از دریا	باز چون جمع گشت دریا شد
غیرتش غیر در جهان نگذاشت	لاجرم عین جمله اشیا شد
نسبت اقتدار و فعل به ما	هم از آن روی بود کو ما شد
جام گیتی‌نمای او ماییم	که به ما هرچه بود پیدا شد
تا به اکنون مرا نبود خبر	بر من امروز آشکارا شد
ما چنین تشنه و زلال وصال	همه عالم گرفته مالامال
غرق آبیم و آب می‌جوییم	در وصالیم و بی‌خبر ز وصال
آفتاب اندرون خانه و ما	در بدر می‌رویم، ذره مثال
گنج در آستین و می‌گردیم	گرد هر کوی بهر یک مثقال
چند گردیم خیره گرد جهان؟	چند باشیم اسیر ظن و خیال؟
در ده، ای ساقی، از لبت جامی	کز نهاد خودم گرفت ملال
آفتابی ز روی خود بنمای	تا چو سایه رخ آورم به زوال
تا ابد با ازل قرین گردد	دی و فردای ما شود همه حال
در چنین حال شاید ار گویم	گر چه باشد به نزد عقل محال
ای به تو روز و شب جهان روشن	بی‌رخت چشم عاشقان روشن
به حدیث تو کام دل شیرین	به جمال تو چشم جان روشن
شد به نور جمال روشن تو	عالم تیره ناگهان روشن
آفتاب رخ جهانگیرت	می‌کند دم به دم جهان روشن
ز ابتدا عالم از تو روشن شد	کز یقین می‌شود گمان روشن
می‌نماید ز روی هر ذره	آفتاب رخت عیان روشن
کی توان کرد در خم زلفت	خویشتن را ز خود نهان روشن؟
ای دل تیره، گر نگشت تو را	سر توحید این بیان روشن
اندر آیینهٔ جهان بنگر	تا ببینی همان زمان روشن
مطرب عشق می‌نوازد ساز	عاشقی کو؟ که بشنود آواز
هر نفس پرده‌ای دگر ساز	هر زمان زخمه‌ای کند آغاز
همه عالم صدای نغمه اوست	که شنید این چنین صدای دراز؟
راز او از جهان برون افتاد	خود صدا کی نگاه دارد راز؟
سر او از زبان هر ذره	هم تو بشنو، که من نیم غماز
چه حدیث است در جهان؟ که شنید	سخن سرش از سخن پرداز
خود سخن گفت و خود شنید از خود	کردم اینک سخن برت ایجاز
عشق مشاطه‌ای است رنگ آمیز	که حقیقت کند به رنگ مجاز
تا به دام آورد دل محمود	بترازد به شانه زلف ایاز
نه به اندازهٔ تو هست سخن	عشق می‌گوید این سخن را باز
عشق ناگاه برکشید علم	تا بهم بر زند وجود و عدم
بی‌قراری عشق شورانگیز	شر و شوری فکند در عالم
در هر آیینه حسن دیگرگون	می‌نماید جمال او هردم
گه برآید به کسوت حوا	گه برآید به صورت آدم
گاه خرم کند دل غمگین	گاه غمگین کند دل خرم
گر کند عالمی خراب چه باک؟	مهر را از هلاک یک شبنم
می‌نماید که هست و نیست جهان	جز خطی در میان نور و ظلم
گر بخوانی تو این خط موهوم	بشناسی حدوث را ز قدم
معنی حرف کون ظاهر کن	تا بدانی بقدر خویش تو هم
ای رخت آفتاب عالمتاب	در فضای تو کاینات سراب
در نیاید به چشم تو دو جهان	کی به چشم تو اندر آید خواب؟
پیش ازین بی‌رخت چه بود جهان؟	سایه‌ای در عدم سرای خراب
ز استوا مهر طلعت تو بتافت	سایه از نور مهر یافت خضاب
مهر چون سایه از میان برداشت	ما چه باشیم در میان؟ دریاب
اول و آخر اوست در همه حال	ظاهر و باطن اوست در همه باب
گر صد است، ار هزار، جمله یکی است	در نیاید به جز یکی به حساب
برف خوانند آب را، چو ببست	باز چون حل شود چه گویند آب؟
آب چون رنگ و بوی گل گیرد	لاجرم نام او کنند گلاب
بر زبان فصیح هر ذره	می‌کند عشق لحظه لحظه خطاب
روی جانان به چشم جان دیدن	خوش بود، خاصه رایگان دیدن
خوش بود در صفای رخسارش	آشکارا همه نهان دیدن
جز در آیینهٔ رخش نتوان	عکس رخسار او عیان دیدن
بوی او را بدو توان دریافت	روی او را بدو توان دیدن
دیدن روی دوست خوش باشد	خاصه رخساره‌ای چنان دیدن
خود گرفتم که در صفای رخش	نتوانی همه نهان دیدن
می‌توان آنچه هست و بود و بود	در رخ او یکان یکان دیدن
در خم زلف او، چه خوش باشد	دل گم گشته ناگهان دیدن!
اندر آیینهٔ جهان باری	می‌توانی به چشم جان دیدن
یارب، آن لعل شکرین چه خوش است؟	یارب، آن روی نازنین چه خوش است؟
با لبش ذوق هم نفس چه نکوست؟	با رخش حسن هم قرین چه خوش است ؟
از خط عنبرین او خواندن	سخن لعل شکرین چه خوش است؟
ور ز من باورت نمی‌افتد	بوسه زن بر لبش، ببین چه خوش است؟
مهر جانان به چشم جان بنگر	در میان گمان یقین چه خوش است؟
من ز خود گشته غایب ، او حاضر	عشق با یار هم چنین چه خوش است ؟
آنکه اندر جهان نمی گنجد	در میان دل حزین چه خوش است ؟
تا فشاند بر آستان درش	عاشقی جان در آستین چه خوش است ؟
در جهان غیر او نمی‌بینم	دلم امروز هم برین چه خوش است؟
بی‌دلی را، که عشق بنوازد	جان او جلوه‌گاه خود سازد
دل او را ز غم به جان آرد	تن او را ز غصه بگدازد
به خودش آنچنان کند مشغول	که به معشوق هم نپردازد
چون کند خانه خالی از اغیار	آن گهی عشق با خود آغازد
زلف خود را به رخ بیاراید	روی خود را به حسن بترازد
بر لب خویش بوس‌ها شمرد	با رخ خویش عشق‌ها بازد
چون درون را همه فرو گیرد	ناگهی از درون برون تازد
با عراقی کرشمه‌ای بکند	دل او را به لطف بنوازد
تا به مستی ز خویشتن برود	به جهان این سخن دراندازد
