آن غریبان منزل دنیی	آن عزیزان جنت‌الماوی
محرمان سراچهٔ قدسی	لوح خوانان سر نه کرسی
سالکان طریقهٔ علیا	راه‌داران جادهٔ سفلا
زنده جانان مرده در غم یار	مست حالان جان و دل هشیار
پادشاهان تخت روحانی	غوطه‌خواران بحر نورانی
شاهبازان در قفس مانده	پیش بینان بازپس مانده
از حدود وجود گم گشته	وز عقول و نفوس بگذشته
به کسی شان، ز دوست پروا، نه	سوخته، چون ز شمع، پروانه
همچو پروانه ز اشتیاق رخش	خویشتن را فگنده در آتش
در ره دوست پا ز سر کرده	ابجد عشق را ز بر کرده
چون ز کتاب دهر جیفه شده	بر سریر صفا خلیفه شده
یار خود دیده در پس پرده	تن به جان مانده، جان فدا کرده
می نخورده شده به بویی مست	دوست نادیده دل بداده ز دست
بر ره یار منتظر مانده	نمک شوق بر دل افشانده
بار محنت کشیده چون ایوب	زهر فرقت چشیده چون یعقوب
نظر جان ز جسم بگسسته	صدق «میعاد» باز دانسته
کرده از جان بسوی کوش چوروی	«لیس فی جبتی سوی الله» گوی
جان «اناالحق» زنان و تن بردار	فارغ از جنت و گذشته ز نار
علم اتحاد بر بسته	لشکر خشم و آز بشکسته
بن و بیخ خیال برکنده	گشته آزاد و هم چنان بنده
