«انما العاشقون مذبوحون»	«عندباب الحبیب مطروحون»
عاشقان کشتگان زنده دلند	ز آتش عشق دوست مشتعلند
عاشقان را نه دود و نه عود است	نالهٔ عشق لحن داود است
دل عاشق ز عشق بیمار است	نالهٔ زیر عاشقان زار است
وصف معشوق را ز عاشق پرس	حسن عذرا ز چشم وامق پرس
وصف شیرین به نزد خسرو گوی	مهر لیلی ز طبع مجنون جوی
سوز پروانه شوق پروین دان	اصل سودای ویس و رامین دان
همه عالم، اگر پر از هوس است	بشر را اشتیاق هند بس است
جان فرهاد، اگر چه شیرین بود	عاقبت هم برای شیرین بود
هر که او را دلی بود، باری	ناگزیرش بود ز دلداری
ای که عاشق نه‌ای، حرامت باد	زندگانی، که می‌دهی بر باد
