ما مقیم آستان توایم	عندلیبان بوستان توایم
گر رویم از درت و گر نرویم	از تو گوییم و هم ز تو شنویم
چون که در دام تو گرفتاریم	از تو پروای خویش چون داریم؟
چون دم از آشنایی تو زنیم	میل بیگانگی چگونه کنیم؟
سر ما و آستانهٔ در تو	منتظر تا رویم در سر تو
تو مپندار کز در تو رویم	به سر تو، که در سر تو رویم
تا ز عشق تو جرعه‌ای خوردیم	دل بدادیم و جان فدا کردیم
تا به کوی تو راهبر گشتیم	جز تو، از هرچه بود برگشتیم
تا ز جان با غم تو پیوستیم	رخت هستی خویش بربستیم
تا ز شوق تو مست و حیرانیم	ره به هستی خود نمی‌دانیم
چون به سودای تو گرفتاریم	سر سودای خود کجا داریم؟
تاب حسن تو آتشی افروخت	دل ما را بدان بخواهد سوخت
