ای ندیمان شهریار جهان	ای بزرگان درگه سلطان
ای پسندیدگان خسرو شرق	همنشینان او به بزم و به خوان
پیش شاه جهان شما گویید	سخن بندگان شاه جهان
من هم از بندگان سلطانم	گر چه امروز کم شدم ز میان
مر مرا حاجت آمده‌ست امروز	به سخن گفتن شما همگان
همگان حال من شنیدستید	بلکه دانسته‌اید و دیده عیان
شاه گیتی مرا گرامی داشت	نام من داشت روز و شب به زبان
باز خواندی مرا ز وقت به وقت	بازجستی مرا زمان به زمان
گاه گفتی بیا و رود بزن	گاه گفتی بیا و شعر بخوان
به غزل یافتم همی احسنت	به ثنا یافتم همی احسان
من ز شادی بر آسمان برین	نام من بر زمین دهان به دهان
این همی‌گفت فرخی را دوش	زر بداده‌ست شاه زرافشان
آن همی‌گفت فرخی را دی	اسب داده‌ست خسرو ایران
نوبهاری شکفته بود مرا	که مر آن را نبود بیم خزان
باغها داشتم پر از گل سرخ	دشتها پر شقایق نعمان
از چپ و راست سوسن و خیری	وز پس و پیش نرگس و ریحان
از سر کوه بادی اندر جست	گل من کرد زیر گل پنهان
به کف من نماند جز غم و درد	زانهمه نیکویی نماند نشان
گفتی آن را به خواب دیدستم	یا کسی گفت پیش من هذیان
حال آدم چو حال من بوده‌ست	این دو حالست همسر و یکسان
آنچه زین حالها به ما دو رسید	مرسادا به هیچ پیر و جوان
من ز دیدار شه جدا ماندم	آدم از خلد و روضهٔ رضوان
چشم بد ناگهان مرا دریافت	کارم از چشم بد رسید به جان
شاه از من به دل گران گشته‌ست	به گناهی که بیگناهم از آن
سخنی باز شد به مجلس شاه	بیشتر بود از آن سخن بهتان
سخن آن بد که باده خورده همی	به فلان جای فرخی و فلان
این سخن با قضا برابر گشت	از قضاها گریختن نتوان
رادمردی کنید و فضل کنید	بر شه حقشناس حرمتدان
من درین روزها جز آن یک روز	می نخوردم به حرمت یزدان
به سرایی درون شدم روزی	با لبی خشک و با دلی بریان
گفتم آنجا یکی خبر پرسم	زانچه درد مرا بود درمان
خبری یافتم چنانکه مرا	راحت روح بود و رامش جان
قصد کردم که باز خانه روم	تا دهم صدقه و کنم قربان
آن خبر ده مرا تضرع کرد	که مرو مر مرا بمان مهمان
تا بدین شادی و نشاط خوریم	قدحی چند باده از پس نان
من به پاداش آن خبر که بداد	بردم او را بدین سخن فرمان
خوردم آنجا دو سه قدح سیکی	بودم آنجا بدان سبب شادان
خویشتن را جز این ندانم جرم	من و سوگند مصحف و قرآن
اگر این جرم در خور ادبست	چوب و شمشیر و گردن اینک و ران
گو بزن مر مرا و دور مکن	گو بکش مر مرا و دور مران
شاه ایران از آن کریمترست	که دل چون منی کند پخسان
جاودان شاد باد و خرم باد	تن و جانش قوی و آبادان
کار او همچو نام او محمود	نام نیکوی او سر دیوان
هر که جز روزگار او خواهد	روزگارش مباد نیم زمان
