ای ندیمان شهریار جهان	ای بزرگان درگه سلطان
ای پسندیدگان خسرو شرق	همنشینان او به بزم و به خوان
پیش شاه جهان شماگویید	سخن بندگان شاه جهان
من هم از بندگان سلطانم	گرچه امروز کم شدم ز میان
مر مرا حاجت آمده ست امروز	به سخن گفتن شماهمگان
همگان حال من شنیدستید	بلکه دانسته اید و دیده عیان
شاه گیتی مرا گرامی داشت	نام من داشت روز و شب به زبان
باز خواندی مرا ز وقت به وقت	باز جستی مرا زمان به زمان
گاه گفتی بیا و رود بزن	گاه گفتی بیا و شعر بخوان
به غزل یافتم همی احسنت	به ثنا یافتم همی احسان
من ز شادی بر آسمان برین	نام من بر زمین دهان بدهان
این همی گفت فرخی را دوش	زر بداده ست شاه زر افشان
آن همی گفت فرخی را دی	اسب داده ست خسرو ایران
نو بهاری شکفته بود مرا	که مر آن رانبود بیم خزان
باغها داشتم پر از گل سرخ	دشتها پر شقایق نعمان
از چپ و راست سوسن و خیری	وز پس و پیش نرگس و ریحان
از سر کوه بادی اندرجست	گل من کرد زیر گل پنهان
بکف من نماند جز غم و درد	زانهمه نیکویی نماندنشان
گفتی آنرا بخواب دیدستم	یا کسی گفت پیش من هذیان
حال آدم چو حال من بوده ست	این دوحالست همسر و یکسان
آنچه زین حالها بمادو رسید	مر سادا بهیچ پیر و جوان
من ز دیدار شه جدا ماندم	آدم از خلد و روضه رضوان
چشم بد ناگهان مرا دریافت	کارم از چشم بد رسید بجان
شاه از من به دل گران گشته ست	بگناهی که بیگناهم از آن
سخنی باز شد به مجلس شاه	بیشتر بود از آن سخن بهتان
سخن آن بد که باده خورده همی	به فلان جای فرخی و فلان
این سخن با قضا برابر گشت	از قضاها گریختن نتوان
راد مردی کنیدو فضل کنید	برشه حق شناس حرمت دان
من درین روزها جز آن یکروز	می نخوردم به حرمت یزدان
به سرایی درون شدم روزی	با لبی خشک و با دلی بریان
گفتم آن جا یکی خبرپرسم	زانچه درد مرا بود درمان
خبری یافتم چنانکه مرا	راحت روح بود و رامش جان
قصد کردم که باز خانه روم	تا دهم صدقه و کنم قربان
آن خبر ده مرا تضرع کرد	که مرو مرمرا بمان مهمان
تا بدین شادی و نشاط خوریم	قدحی چند باده از پس نان
من بپاداش آن خبر که بداد	بردم او را بدین سخن فرمان
خوردم آنجا دو سه قدح سیکی	بودم آن جا بدان سبب شادان
خویشتن را جز این ندانم جرم	من و سوگند مصحف و قرآن
اگر این جرم در خور ادبست	چوب و شمشیر وگردن اینک و ران
گوبزن مرمرا و دور مکن	گوبکش مرمرا و دور مران
شاه ایران از آن کریمترست	که دل چون منی کند پخسان
جاودان شاد باد و خرم باد	تن و جانش قوی و آبادان
کار او همچو نام او محمود	نام نیکوی او سر دیوان
هر که جز روزگار او خواهد	روزگارش مباد نیم زمان
