عاشقانرا خدای صبر دهاد	هیچکسرا بلای عشق مباد
با همه بیدلان برابر گشت	هر که اندر بلای عشق افتاد
هر که را عشق نیست انده نیست	دل بعشق از چه روی باید داد
عشق بر من در نشاط ببست	عشق بر من در بلا بگشاد
وای عشقا چه آفتی که ز تو	هیچ عاشق همی نیابد داد
با بلاهای تو و با غم تو	تن ز که باید و دل از پولاد
دل من بستدی چه دانم کرد	هم بخواجه برم زدست تو داد
از قدم تابسر همی تن من	دل شود چون ز خواجه آرم یاد
مهتر پاک خوی پاک سیر	خواجه سید عمیدا ،زیاد
خواجه بوبکر کز نوازش او	کار ویران من شدست آباد
آنکه بی  خدمتی وبی سببی	هست با من بجان شیرین راد
راد مردی و نیکنامی را	او نهاده ست در جهان بنیاد
رادی مهتران ز روی ریاست	وان خواجه ز گوهر وز نژاد
خرد و مردمیش روز افزون	فضل وآزادگیش مادر زاد
هر که او تیز هوش تر ز ادب	خواند او را مقدم و استاد
همچو نو باوه بر نهاد بچشم	نامه او خلیفه بغداد
با دبیران خویش گفت که کس	مرسخن را چنین نهد بنلاد
خواجه بوبکر بود گوی ادب	ایزد او را بقا و عمر دهاد
لقب او سپهر آداب است	وین لقب صاحب جلیل نهاد
ای نمودار معجزات مسیح	ای سزاوار پیشگاه قباد
تا من از درگه تو دور شدم	بی تکلف همی نگردم شاد
آنچه بی تو برین دلست از غم	نه همانا که بود بر فرهاد
دور کردی مر از خدمت خویش	چون شمن را ز لعبت نو شاد
همه امید من تویی در غم	تو رسیدی همی مرا فریاد
داد و نیکویی از تو دارم چشم	چون ز تو جور بینم و بیداد
شاد گردان مرا بدیدن خویش	تا دل من شود ز رنج آزاد
تا نباشد بهیچ عقدو شمار	هفت چون هفده هشت چون هشتاد
تا بوقت بهار و وقت خزان	گل بروید ز آذر و خرداد
یک غم دشمنان تو صد باد	شادی و عز تو یکی هفتاد
بد سکال تو و مخالف تو	خسر جنگجوی با داماد
عید نوروز بنده دیدن تست	عید نوروز بر تو فرخ باد
