نیگلون پرده برکشید هوا	باغ بنوشت مفرش دیبا
آبدان گشت نیلگون رخسار	و آسمان گشت سیمگون سیما
چون بلور شکسته، بسته شود	گر براندازی آب را بهوا
لوح یاقوت زرد گشت بباغ	بر درختان صحیفه مینا
بینوا گشت باغ مینا رنگ	تا درو زاغ برگرفت نوا
مطرب بینوا نوا نزند	اندر آن مجلسی که نیست نوا
گر نه عاشق شدست برگ درخت	از چه رخ زرد گشت و پشت دوتا
باد را کیمیای سوده که داد	که ازو زر ساو گشت گیا
گر گیا زرد گشت باک مدار	بس بود سرخ روی خواجه ما
خواجه سید اسعد آنکه ازوست	هرچه سعدست زیر هفت سما
آنکه با رای او یکیست قدر	آنکه با امر او یکیست قضا
زیر تدبیر محکمش آفاق	زیر اعلام همتش دنیا
تا بدریا رسید باد سخاش	در شکستست زایش دریا
کل جودست دست او دایم	وان دگر جودها همه اجزا
هر که امروز کرد خدمت او	خدمت او ملک کند فردا
هر که خالی شد از عنایت او	عالم او را دهد عنان عنا
ز ایرانرا سرای او حرمست	مسند او منا و صدر صفا
هر که تنها شود ز خدمت او	از همه چیزها شود تنها
آفرین خدای باد بر او	کافرین را بلند کرد بنا
با بها گشت صدر و بالش ازو	که ثنا زو گرفت فر و بها
او کند فرق نیک را از بد	او شناسد صواب را ز خطا
خاطر من مگر بمدحت او	ندهد بر مدیح خلق رضا
گرچه دورم بتن ز خدمت او	نکنم بی بهانه رسم رها
هر زمان مدحتی فرستم نو	ای رساننده زود باش هلا
ای سزاوارتر بمدح و ثناست	جهد کن تا رسد سزا بسزا
ای ستوده خوی ستوده سخن	ای بلند اختر بلند عطا
گر بخدمت نیامدم بر تو	عذر کی تازه رخ نمود مرا
تا ز درگاه تو جدا گشتم	هر زمانی مرا غمیست جدا
فرقت پرده تو گشت مرا	پرده  ای بر دو دیده بینا
من به مدح و دعا ز دستم چنگ	گر بسنده کنی بمدح و دعا
تا نمازست مایه مؤمن	تا صلیبست قبله ترسا
شادمان باش و بختیار و عزیز	جاودان، کامران و کامروا
