الهی بکامم شرابی فرست 	شرابی زجام خطابی فرست 
مرا کشت رنج خمار الست 	دگر باره از نو شرابی فرست 
دلم تا صفا یابد از زنگ غم 	بدردی کشانت که تابی فرست 
شد افسرده جانم درین خاکدان 	زمهرت بدل آب و تابی فرست 
زسر جوش خمخانهٔ حب خویش 	بجام شرابم حبابی فرست 
بلب تشنهٔ چشمهٔ معرفت 	بساقی کوثر که آبی فرست
بعصیان سرا پای آلوده ام 	زجام طهورم شرابی فرست 
بمعمار میکن حوالت مرا 	امیری بملک خرابی فرست 
بدل تخم امیدگشتم بسی 	بدین کشتزارم سحابی فرست 
زدریای غفران و ابر کرم 	مرا رحمت بی حسابی فرست 
برای براتم ز آتشکده	ز سوی یمینم کتابی فرست 
ز قشر سخن فیض دلگیر شد 	ز معنای بکرم لبابی فرست 
