بنواز دل شکسته‌ای را 	رحمی بنمای خسته‌ای را 
میکن چو گذر کنی نگاهی 	برخاک رهت نشسته‌ای را 
بیگانه مشو بخویش پیوند 	از هر دو جهان گسسته‌ای را 
سهلست کنی گر التفاتی 	دل بر کرم تو بسته‌ای را 
مگذار بدام نفس افتد 	از چنگل دیو جسته‌ای را 
با بار فتد بچنگ ابلیس 	با خیل ملک نشسته‌ای را 
مگذار شود بکام دشمن 	دل در غم دست بسته‌ای را 
مپسند دگر شود گرفتار 	بهر تو زخویش رسته‌ای را 
بی دانه و آب زار مگذار 	مرغ پر و پا شکسته‌ای را 
یا رب چه شود که دست گیری 	از پای فتاده خسته‌ای را 
فیض است وغم تو و دگر هیچ	وصلی از خود گسسته‌ای را 
 بسته است دل شکسته در تو 	بپذیر شکسته بسته‌ای را 
