بر دلم صدهزار نیشترست	بلکه از صدهزار بیشترست
شرح یک ماجرا ز دردسرم	موجب صدهزار درد سرست
پیکرم آنچنان شدست ضعیف	که نهان همچو روح از نظرست
زین سبب درکفم ز غایت ضعف	خشک چوبی به ‌گاه پویه درست
لاجرم ‌گاه پویه پندارند	که عصایی به سحر ره سپرست
گر هلال این‌چنین ضعیف شود	عاطل از سیر و جنبش و اثرست
کوه اگر بیند اینچنین آسیب	لرزه‌اش تا به حشر در کمرست
پیش اشک دو چشم خونبارم	قلزم اندر شمارهٔ شمرست
قامتم خم شدست همچو کمان	لیک در پیش تیر غم سپرست
تن افسرده‌ام ز غایت ضعف	چون یکی چوب خشک بی‌ثمرست
موی از تاب تب بر اندامم	بتر از نیش ناچخ و تبرست
در و بام سرایم از شیشه	راست‌گویی دکان شیشه‌گرست
همه لبریز از آن قبیل عرق	کش به چارم مزاج سرد و ترست
آه از آن شیشه‌ای‌ که چون‌ کژدم	هیأتش دل شکاف زهره درست
لاطئی هست ‌کاب شهوت آن	رافع رنج و دافع خطرست
دوستانم زنند دست به دست	که فلان ای دریغ محتضرست
آنچنان لاغرم که پنداری	پوستم زیر و استخوان زبرست
لاجرم هرکه مر مرا بیند	فاش‌ گوید که این چه جانورست
حجرهٔ من زمین یونانست	بس‌که در وی حکیم چاره‌گرست
دهنم از حرارت صفرا	از عفونت چوکام شیر نرست
لرز لرزان تنم ز شدت ضعف	چون دل خصم صدر نامورست
حاجی آقاسی آن جهان جلال	که جهانش به چشم مختصرست
آنکه رایش مدبر فلکست	وآنکه قدرش مربی قدرست
آنکه از مهر و کین او زاید	هرچه اندر زمانه خیر و شرست
جنبش خامه‌اش چو گردش چرخ	پایمرد صدور نفع و ضرست
لیک سیرش خلاف سیر سپهر	دوست را نفع‌ و خصم را ضررست
طبع او بحر و گفت او گوهر	دست او ابر و جود او مطرست
آنچه ز آثار خلق نیک در اوست	از گمان و قیاس و وهم برست
ملکی هست در لباس بشر	کاین خلایق نه لایق بشرست
اگر از خود بُدی فروغ قمر	گفتمی‌کاو برای و رو قمر‌ست
روی او نیست آفتاب سپهر	لیک چون آفتاب مشتهرست
خامهٔ او چو خام خسرو عهد	مادر فتح و دایهٔ ظفرست
با عتابش‌ که هست مایهٔ مرگ	خون و جان جهانیان هدرست
دل و دستش به‌گاه جود وکرم	غارت‌گنج و آفت‌گهرست
چون غزالی رمیده از صیاد	حزم او پیش بین و پس نگرست
لطف او روح‌بخش و روح‌افزا	قهر او جان‌ستان و جان شکرست
ای بهشت جهانیان ‌که جحیم	زاتش سطوت تو یک شررست
هر سخن ‌کز لبت برون آید	خوشتر از آب چشمهٔ خضرست
جامهٔ شوکت و جلالت را	دیبهٔ نه سپهر آسترست
نوش درکام دشمنت نیش است	زهر درکام دوستت شیرست
صاحبا بندهٔ تو قاآنی	که خداوند دانش و هنرست
گله‌ها دارد از تغافل تو	لیک دلش از زبانش بی‌خبرست
هیچ‌ گفتی‌ کهینه چاکر من	مدتی شدکه غایب از نظرست
هیچ‌گفتی‌که درکدام محل	به ‌کدامین سراچه‌اش مقرست
جد پاک تو مصطفی ‌که بقدر	ذاتش از هرچه جز خدای برست
به سرای فلان یهود شتافت	دید چون خسته‌حال و خون جگرست
زادگان را مگر نه درگیتی	شیوهٔ جد و عادت پدرست
دوش‌گفتم‌که پاکشم چندی	ز آستانت‌که از سپهر برست
بازگفتم‌که بنده در همه حال	از تولای خواجه ناگزرست
سایه جز پیروی‌گزیرش نیست	هرکجا کافتاب درگذرست
زبر و زیر زیر فرمانت	تا زمین زیر و آسمان زبرست
