سخن‌آرای این حدیث کهن	این‌چنین می‌کند بیان سخن
که ازین پیش بود درویشی	راست‌کیشی، محبت‌اندیشی
از همه قید عالم آزاده	لیک در قید عشق افتاده
الم روزگار دیده بسی	محنت عاشقی کشیده بسی
تنش از عشق جسم بی‌جان بود	رگ برو همچو عشق پیچان بود
بود در کوه گشته و هامون	کار فرهاد کرده و مجنون
بس که می‌داشت میل عشق مدام	عشق می‌گفت در محل سلام
از قضا چند روزی آن درویش	بر خلاف طریق و عادت خویش
از سر کوی عشق دور افتاد	در سراپردهٔ سرور افتاد
نی به دل داغ اشتیاقی داشت	نی به جان آتش فراقی داشت
دلش آزاده از جفای حبیب	جانش آسوده از بلای رقیب
شکر می‌گفت زانکه روزی چند	بود در کنج عافیت خرسند
گرچه می‌خواست ترک محنت عشق	بود در خاطرش محبت عشق
عاشقی گرچه محنت‌انگیزست	محنت او محبت‌انگیزست
خواست القصه عشق صادق	که دگربار اگر شود عاشق
عاشق سرو قامتی باشد	که به قامت قیامتی باشد
با وجود جمال صورت خوب	باشد او را کمال سیرت خوب
از کمال کرم وفاداری	نه ز عین ستم جفاکاری
به هوای چنین دلارامی	می‌زد از شوق هر طرف گامی
سوی باغی گذر فتاد او را	که نشان از بهشت داد او را
چهرهٔ باغ و طرهٔ سنبل	لین یکی حلقه حلقه و آن گل گل
طرفه‌تر آن که روی گل گل رو	ظاهر از حلقه‌ای سنبل او
لاله را زا پیاله‌اش داغی	گو چه حالیست در چنین باغی؟
سبزه در وی چو خضر جا کرده	علم سبز در هوا کرده
بهر دفع خمار نرگش مست	نصف نارنج داشت در کف دست
گل به خوش‌بویی نسیم صبا	پیرهن کرده از نشاط قبا
دو لب خویش از فرح خندان	شکل دندانه بر لبش دندان
منظری داشت همچو خلد برین	برتر از اسمان به روی زمین
بام افلاک پیش منظر او	بود چون سایه پست در بر او
ماه و خورشید فرش آن در بود	خشتی از سیم و خشتی از زر بود
زیر دیوارش از برای نشاط	بود گسترده صد هزار بساط
طوف آن باغ چون میسر شد	میل درویش سوی منظر شد
ناگهان دید مکتبی چو بهشت	در و دیوار آن عبیرسرشت
وه چه مکتب که رشک بستان‌ها	بوستانی درو گلستان‌ها
اهل مکتب همه به حسن و جمال	سالشان کم، جمالشان به کنال
یکی ابروی کج عیان کرده	سر «نون و القلم» بیان کرده
یکی از شکل و قد و زلف و دهان	از «الف، لام و میم« داده نشان
همچو «والشمس» آن یکی را روی	همچو «والیل» آن یکی را موی
هر که در مکتبی چنین شد خاص	خواند «الحمد» از سر اخلاص
بود سرخیل آن همه ماهی	ملک اقلیم حسن را شاهی
زرفه شه‌زاده‌ای به حسن ادب	طرفه‌تر آن که «شاه» داشت لقب
سرو قدی که چون قدم می‌زد	هر قدم عالمی به هم می‌زد
شوخ‌چشمی که چون نگه می‌کرد	خانهٔ مردمان تبه می‌کرد
پیش آن چشم خواب ناک سیاه	سرمه بی‌قدر همچو خاک سیاه
بودش از زهر چشم مژگان‌ها	همچو زهر آب داده پیکان‌ها
سنبلی بر سمن کشیده چو جیم	کاکلی بر قفا فگنده چو میم
چون نمک ریخته تکلم او	شکر امیخته تبسم او
شکل ابروی آن خجسته تذرو	دو پر زاغ بود بر سر سرو
چشمهٔ آب زندگی لب او	موج آن سیم غبغب او
از دهانش نشانه هیچ نبود	جز سخن در میانه هیچ نبود
آن دهان هیچ و آن میان هم هیچ	جز خیالی نبود و آن هم هیچ
گر میانش خال خواهد بود	آن خیال محال خواهد بود
مشکلی هرکه پیشش آوردی	او روان حل مشکلش کردی
بود وقت فسون‌سازی	خرده‌دانی و نکته‌پردازی
بس که درویش گشت مایل او	ماند در حسرت شمایل او
هر دمش می‌فزود حیرانی	حیرتی آن‌چنان که می‌دانی
شاه گفتش چنین خموش مباش	لب بجنبان تمام گوش مباش
گر تو را هست مشکلی در دل	بکن از من سوال آن مشکل
چیست؟ گفت آن یگانهٔ آفاق	آن که هم جفت باشد و هم طاق؟
گفت آن ابروان پرخم ماست	کج تصور مکن که گفتم راست
گرچه جفتند آن دو بی کم و بیش	لیک طاقند در نکویی خویش
گفت آری جواب آن اینست	شاه را صدهزار تحسینست
شاه گفتا که در کدام کتاب	خوانده‌ای این‌چنین سوال و جواب؟
گفت هرگز نخوانده‌ام سبقی	پیش کس نگذرانده‌ام ورقی
بهره‌ای از سواد نیست مرا	غیر خواندن مراد نیست مرا
خانهٔ چشمم از سواد تهی‌ست	بی‌سوادیش عین روسیهیست
تا نخوانی به دل سروری نیست	دیده را بی‌سوادی نوری نیست
چون که شه را شد اعتقاد برو	الف و با نوشت و داد برو
میل درویش زان یکی صد شد	گفت این بار کار من بد شد
دست بر سر نهاد و زار گریست	که درین عاشقی نخواهم زیست
چون به هم حسن و خلق یار شود	عشق عاشق یکی هزار شود
خوب‌رویی که هست عاشق دوست	در جهان هر که هست عاشق اوست
گرچه درویش ذوفنونی بود	در ره عشق رهنمونی بود
لوح تعلیم در کنار نهاد	سر تعظیم پیش یار نهاد
ای بسا خرده‌بین که آخر کار	سوی مکتب رود چو اول بار
این بود عشق ذوفنون را ورد	که کند اوستاد را شاگرد
عشق چون درس خود کند بنیاد	بشکند تخته بر سر استاد
در سبق آشکار می‌نگریست	لیک پنهان به یار می‌نگریست
