ای دوای درون خسته‌دلان	مرهم سینهٔ شکسته دلان
مرهمی لطف کن، که خسته‌دلم	مرحمت کن که شکسته‌دلم
گر چه من سر به سر گنه کردم	نامهٔ خویش را سیه کردم
تو درین نامهٔ سیاه مبین	کرم خویش بین گناه مبین
من خود از کرده‌های خود خجلم	تو مکن روز حشر منفعلم
با وجود گناه‌کاری‌ها	از تو دارم امیدواری‌ها
زانکه بر توست اعتماد همه	ای مراد من و مراد همه
تو کریمی و بی‌نوای توام	پادشاهی و من گدای توام
نی گدایی که این و آن خواهم	کام دل، آرزوی جان خواهم
بلکه باشد گدایی‌ام دردی	اشک سرخی و چهرهٔ زردی
تا به راهت ز اهل درد شوم	برنخیزم اگرچه گرد شوم
چون به خاک اوفتم بع صد خواری	تو ز خاکم به لطف برداری
گرچه در خورد آتشم چون شرر	نظری گر به من رسد چه ضرر؟
من نگویم که لطف و احسان کن	بنده‌ام هرچه شایدت آن کن
عاقبت بگسلد چو بند از بند	بند بند مرا به خود پیوند
