در دریای سرمدست علی	جانشین محمدست علی
اسدالله سرور غالب	شاه مردان علی ابوطالب
هر که با شیر حق زند پنجه	شنجهٔ خوشتن کند رنجه
ساقی شیرگیر سرمستان	زیر دستش همه زبردستان
در کف انگشت او کلیدی بود	در خیبر به آن کلید گشود
وز سر ذوالفقار آن فیاض	رشتهٔ کفر را شده مقراض
تا نجف به هر گوهرش صدفست	ریگ صحرای او در نجفست
زیب این گلشن از جمال علیست	گل این باغ رنگ آل علیست
بود عم‌زاده رسول خدا	چون رسول از خدا نبود جدا
چون دو کس ابن عم یکدگرند	چون دو فرزند کان ز یک پدرند
پدران در نسب برابر هم	پسران در حسب برابر هم
گه سر خصم را جدا کرده	گه سر خویش را فدا کرده
هر شهی وقت بزم زر بخشد	شاه ما روز رزم سر بخشد
کرم خلق بخشش درمست	گر کسی سر فدا کند کرمست
همه سرها فدای او بادا	همه شاهان گدای او بادا
