گوهر حقهٔ دهان سخنست	جوهر خنجر زبان سخنست
گر نبودی سخن چه گفتی کس؟	در معنی چگونه سفتی کس؟
سر کس را کسی چه دانستی؟	راز گفتن کجا توانستی؟
این سخن گر نه در میان بودی	آدمی نیز بی‌زبان بودی
سخن خوش حیات جان و تنست	دم عیسی گواه این سخنست
نکته‌دانی در سخن سفته است	سخنی چند در میان گفته است
که سخن ز آسمان فرود آمد	سخن از گنبد کبود آمد
گر بدی گوهری ورای سخن	آن فرود آمدی به جای سخن
راستست این سخن درین چه شکست؟	بلکه جایش همیشه بر فلکست
نه سخن از دهن برون آید	که سخن از سخن برون آید
این سخن زادهٔ دو حرف کنست	بلکه این کن دو حرف یک سخنست
ای خرد از سخن روایت کن	به زبان قلم حکایت کن
کاتب صنع داشت میل سخن	ساخت لوح و قلم طفیل سخن
ای قلم، ساعتی زبان بگشای	حقهٔ مشک را دهان بگشای
واقفی از سفیدی و سیهی	در سیاهی در آ که خضر رهی
گرچه از تیغ من قلم شده ای	به سخن در جهان علم شده‌ای
تو به گفتار شکرین سمری	تو قلم نیستی که نی شکری
چون تو نازک نهال دیگر نیست	همه انگشت‌ها برابر نیست
ملک معنی از آن تست همه	این قلم زو تو راست یک کلمه
شاه معنی تویی، علم بردار	سوی ملک سخن قدم بردار
یاد کن سحرآفرینان را	نکته‌دانان و خرده‌بینان را
که همه مخزن سخن بودند	رازدان نو کهن بودند
عالم از در نظم پر کردند	همچو دریا نثار در کردند
ابر رحمت نثار ایشان باد	لطف جاوید یار ایشان باد
بر رسولی که نعت اوست کلام	سیدالمرسلین علیه سلام
