راهب دیرینه افلاطون حکیم	از گروه گوسفندان قدیم
رخش او در ظلمت معقول گم	در کهستان وجود افکنده سم
آنچنان افسون نامحسوس خورد	اعتبار از دست و چشم و گوش برد
گفت سر زندگی در مردن است	شمع را صد جلوه از افسردن است
بر تخیلهای ما فرمان رواست	جام او خواب آور و گیتی رباست
گوسفندی در لباس آدم است	حکم او بر جان صوفی محکم است
عقل خود را بر سر گردون رساند	عالم اسباب را افسانه خواند
کار او تحلیل اجزای حیات	قطع شاخ سرو رعنای حیات
فکر افلاطون زیان را سود گفت	حکمت او بود را نابود گفت
فطرتش خوابید و خوابی آفرید	چشم هوش او سرابی آفرید
بسکه از ذوق عمل محروم بود	جان او وارفته ی معدوم بود
منکر هنگامه ی موجود گشت	خالق اعیان نامشهود گشت
زنده جان را عالم امکان خوش است	مرده دل را عالم اعیان خوش است
آهوش بی بهره از لطف خرام	لذت رفتار بر کبکش حرام
شبنمش از طاقت رم بی نصیب	طایرش را سینه از دم بی نصیب
ذوق روئیدن ندارد دانه اش	از طپیدن بی خبر پروانه اش
راهب ما چاره غیر از رم نداشت	طاقت غوغای این عالم نداشت
دل بسوز شعله ی افسرده بست	نقش آن دنیای افیون خورده بست
از نشیمن سوی گردون پر گشود	باز سوی آشیان نامد فرود
در خم گردون خیال او گم است	من ندانم درد یا خشت خم است
قومها از سکر او مسموم گشت	خفت و از ذوق عمل محروم گشت
