هستی ما نظام ما	مستی ما خرام ما
گردش بی مقام ما	زندگی دوام ما
جلوه گه شهود را	بتکدهٔ نمود را
رزم نبود و بود را	کشکمش وجود را
گرمی کار زار ها	خامی پخته کار ها
تاج و سریر و دارها	خواری شهریار ها
خواجه ز سروری گذشت	بنده ز چاکری گذشت
زاری و قیصری گذشت	دور سکندری گذشت
خاک خموش و در خروش	سست نهاد و سخت کوش
گاه به بزم نا و نوش	گاه جنازه ئی بدوش
تو به طلسم چون و چند	عقل تو در گشاد و بند
مثل غزاله در کمند	زار و زبون و دردمند
پرده چرا ظهور چیست؟	اصل ظلام و نور چیست؟
چشم و دل و شعور چیست؟	فطرت ناصبور چیست؟
بیش تو نزد ما کمی	سال تو پیش ما دمی
ای بکنار تو یمی	ساخته ئی به شبنمی
