ناقهٔ سیار من	آهوی تاتار من
درهم و دینار من	اندک و بسیار من
دلکش و زیباستی	شاهد رعناستی
روکش حوراستی	غیرت لیلاستی
در تپش آفتاب	غوطه زنی در سراب
هم به شب ماهتاب	تند روی چون شهاب
لکه ابر روان	کشتی بی بادبان
مثل خضر راه دان	بر تو سبک هر گران
سوز تو اندر زمام	ساز تو اندر خرام
بی خورش و تشنه کام	پا به سفر صبح و شام
شام تو اندر یمن	صبح تو اندر قرن
ریگ درشت وطن	پای ترا یاسمن
مه ز سفر پا کشید	در پس تل آرمید
صبح ز مشرق دمید	جامهٔ شب بر درید
نغمهٔ من دلگشای	زیر و بمش جانفرای
قافله ها را درای	فتنه ربا فتنه زای
