شاه عالمگیر گردون آستان	اعتبار دودمان گورگان
پایه ی اسلامیان برتر ازو	احترام شرع پیغمبر ازو
در میان کارزار کفر و دین 	ترکش ما را خدنگ آخرین
تخم الحادی که اکبر پرورید	باز اندر فطرت دارا دمید
شمع دل در سینه ها روشن نبود	ملت ما از فساد ایمن نبود
حق گزید از هند عالمگیر را	آن فقیر صاحب شمشیر را
از پی احیای دین مأمور کرد	بهر تجدید یقین مأمور کرد
برق تیغش خرمن الحاد سوخت	شمع دین در محفل ما بر فروخت
کور ذوقان داستانها ساختند	وسعت ادراک او نشناختند
شعله ی توحید را پروانه بود	چون براهیم اندرین بتخانه بود
در صف شاهنشان یکتاستی	فقر او از تربتش پیداستی
روزی آن زیبنده ی تاج و سریر	آن سپهدار و شهنشاه و فقیر
صبحگاهان شد به سیر بیشه ئی	با پرستاری وفا اندیشه ئی
سر خوش از کیفیت باد سحر	طایران تسبیح خوان بر هر شجر
شاه رمز آگاه شد محو نماز	خیمه بر زد در حقیقت از مجاز
شیر ببر آمد پدید از طرف دشت	از خروش او فلک لرزنده گشت
بوی انسان دادش از انسان خبر	پنجه عالمگیر را زد بر کمر
دست شه نادیده خنجر بر کشید 	شرزه شیری را شکم از هم درید
دل بخود راهی نداد اندیشه را	شیر قالین کرد شیر بیشه را
باز سوی حق رمید آن ناصبور	بود معراجش نماز با حضور
این چنین دل خود نما و خود شکن	دارد اندر سینه ی مؤمن وطن
بنده ی حق پیش مولا لاستی	پیش باطل از نعم بر جاستی
تو هم ای نادان دلی آور بدست	شاهدی را محملی آور بدست 
خویش را در باز و خود را بازگیر	دام گستر از نیاز و ناز گیر
عشق را آتش زن اندیشه کن	روبه حق باش و شیری پیشه کن
خوف حق عنوان ایمان است و بس	خوف غیر از شرک پنهان است و بس
