ادبوا النفس ایها الاصحاب	طرق العشق کلها آداب
مایه دولت ابد ادبست	پایه رفعت خرد ادبست
جز ادب نیست در دل ابدال	جز ادب نیست دأب اهل کمال
چیست ادب داد بندگی دادن	بر حدود خدای ایستادن
قول و فعل و شنیدن و دیدن	به موازین شرع سنجیدن
با حق و خلق و شیخ و یار و رفیق	ره سپردن به مقتضای طریق
حرکات جوارح و اعضا	راست کردن به حکم دین هدی
خطرات خواطر و اوهام	پاک کردن ز شوب نفس تمام
در ادای حدود بی تغییر	از غلو دور بودن و تقصیر
نه به افراط هیچ افزودن	نه ز تفریط هیچ فرسودن
دین و اسلام در ادب طلبیست	کفر و طغیان ز شوم بی ادبیست
گوش کن قصه نصاری را	که چو کردند قبله عیسی را
بس که در شأن او غلو کردند	دین و ملت فدای او کردند
سر زد از سر جان شان ناگاه	کالمسیح بن مریم ابن الله
. . .	. . .
گفت در مدحت علی سخنان	که نیاید جز از دروغ زنان
هست قدر علی ازان اعلی	که رسد فهم  . . . آنجا
خود علی را چه ننگ ازان افزون	کش ستایش کنند مشتی دون
دون مگو بل ز دون بسی دونتر	در کمی از کم از کم افزون تر
همه را از ردی به دوش ردی	به حدیث نبی و نص نبی
