قیصر روم سوی نوشیروان	قاصدی هوشمند کرد روان
قاصد شاه هوشمند سزد	تا ز خامی خیال کج نپزد
چون فرستاد از خرد زنده ست	آن خردمندی فرستنده ست
بعد ماهی که رنج راه کشید	به در بارگاه شاه رسید
دید شاهی به عدل بنشسته	در به روی ستمگران بسته
می فرستاد سوی هر کشور	عاملی زیرک و خرد پرور
نکته های گرانبها می سفت	هر یکی را جداجدا می گفت
که چو منزل به هر دیار کنید	با رعایا به رفق کار کنید
مرد دهقان چو تنگدست بود	وز لگدکوب فاقه پست بود
نامراد و امین نهید او را	تخم و گاو و زمین دهید او را
آبیاری کنید کشتش را	نعمت خوبی دهید زشتش را
کشت او را رسد چو وقت درو	مکنیدش درون به غصه گرو
دانه را چون کند جدا از کاه	از سر راستی کنید نگاه
حق او زانچه هست کم مکنید	به جوی خاطرش دژم مکنید
قوت جان و تن ز دهقان است	قوت روح و بدن ز دهقان است
گر نیابد جهان ز دهقان بهر	قحط خیزد ز کارخانه دهر
ور رسد تاجری به شهر شما	در تردد ز لطف و قهر شما
کار او را به لطف پیش آیید	بار او را به قهر مگشایید
تاجران منهیان اخبارند	از بد و نیکتان خبر دارند
با همه کارتان به نیکی باد	تا کنند از شما به نیکی یاد
اهل جمعیتند پیشه وران	بهر نظم معاش کارگران
آب ایشان به خیر و شر مبرید	سلک ایشان ز یکدگر مدرید
نرخ ها را نهید میزانی	خالی از هر قصور و نقصانی
تا در این تگنای جانفرسای	کم نهد کس ز نرخ بیرون پای
به سخای یمین و بذل یسار	ببرید از دل غریبان بار
جامه کودکان بیارایید	خانه بیوگان بیندایید
چون شود تازه عالم از نوروز	سبزه و گل شود جهان افروز
دعوت خلق را سماط نهید	عشرت و عیش را نشاط نهید
ببرید از دل فقیران زنگ	به نوای نی و نوازش چنگ
تا به آنها چو گوش بگشایند	از غم و رنج دی بیاسایند
چون گشایید دست جود و کرم	بر تهی کیسگان به بذل درم
هر زمان شرح آن کرم مدهید	منت بذل آن درم منهید
که ز منت کرم شود مفقود	در عداد ستم شود معدود
نیست منت خورای نفس کریم	باشد آن مقتضای طبع لئیم
قاصد روم را چو این سخنان	گشت مسموع شد شگفت ازان
شاه ازو آن شگفت را دریافت	پرده در رفع آن شگفت شکافت
گفت ما را خدایگان خوانند	چون خدا مالک جهان دانند
در رسوم خدایگانی ما	مهربانی بود نشانی ما
گر نه بر خلق مهربان باشیم	نایبان خدا چه سان باشیم
قاصد روم چون به روم رسید	وان سخن شاه روم ازو بشنید
گفت الحق که شاه شاهان اوست	سرور تاج ملکخواهان اوست
رمه ماییم و او شبان رمه	در بد و نیک پاسبان همه
به که بر خاک پاش تاج نهیم	بنده او شویم و باج دهیم
