اختر برج شرف کاینات	گوهر درج صدف کاینات
جنبش اول ز محیط قدم	سلسله جنبان وجود از عدم
کلک عنایت چو رقم ساز کرد	از همه پیش این رقم آغاز کرد
مطلع دیباچه این ابجد است	پیشترین حرف که در احمد است
نقطه وحدت چو قد افراخته	از پی احمد الفی ساخته
کرده چو قطر آن الف مستقیم	دایره غیب هویت دو نیم
نیمی از آن قوس جهان قدم	قوس دگر ممکن رو در عدم
بر هدف انداخته از دست پاک	زین دو کمان تیر زهی شست پاک
صدرنشین اوست درین پیشگاه	کنت نبیا بود آن را گواه
بود ز رخ شمع نبوت فروز	آب ندیده گل آدم هنوز
رفعت ازو منبر افلاک را	رونق ازو خطبه لولاک را
جز پی آن شاه رسالت مآب	چرخ نزد خیمه زرین طناب
جز پی آن شمع هدایت پناه	ماه نشد قبه این بارگاه
تا نه فروغ از رخش اندوختند	مشعله مهر نیفروختند
تا نه نظر بر قدش انداختند	قایمه عرش نیفراختند
خنده او جان به جهان در دمید	منصب احیا به مسیحا رسید
برق وی از وادی موسی بجست	لمعه نور آمد از آنش به دست
قامت طوبی ز قدش سایه ایست	سدره ز کاخ شرفش پایه ایست
رشحه جام کرمش سلسبیل	مرغ هوای حرمش جبرئیل
نور مبین ناصیه پاک او	حبل متین حلقه فتراک او
تا زندش در خم فتراک دست	عرش برین بر سر کرسی نشست
او چه خور و صبح ویست آفتاب	صبح ز خورشید بود نور یاب
گر نه فروغی ز رخش تافتی	صبح وی این نور کجا یافتی
هست درین دایره رسمی درست	تابش مهر از پس و صبح از نخست
نورفشان اوست چه پیش و چه پس	منبع انوار همین اوست بس
جامی از آلایش خود دور باش	ذره صفت غرقه این نور باش
