ابتدی بسم الله الرحمن	الرحیم المتوالی الاحسان
می کنم از نم این آب حیات	زندگی بخش دل اهل نجات
تر زبان خامه مشک افشان ار	تا معطر کند این عنوان را
نافه آهوی تاتار است این	نفحه طبله عطار است این
خوش نفس غنچه باغ قدم است	تازه رس میوه شاخ کرم است
بر رخ عقل در غیب گشاد	لوحه بر نامه لاریب نهاد
نقش هر لوحه ازین حرف وفاست	طالبان را در فردوس نماست
خرم آن کس که ازین در چو بتافت	بوی فردوس به فردوس شتافت
نیست فردوس جز اسرار شگرفت	که بود درج در او حرف به حرف
نتوانی که زنی از پی دم	تا نبندی لب از آغاز به هم
یعنی ای کرده به این نام بسند	لبت از هر چه جز این نام ببند
سینش از کنگره طارم عرش	قیرگون سایه به کافوری فرش
یعنی از چرخ چو خور تیغ ستیز	بر تو تیز است درین سایه گریز
بر تو مفتوح ز هر حلقه «میم »	روزن نعمتی از باغ نعیم
هر «الف » جان عدو را خاری	بلکه در چشم دلش مسماری
کم شده نطق زبانی به نظام	تا ز «لامش » نرسیده ست به کام
«ها» ش بنگر که روان کرده به جهد	در گلوی تو دو چشمه ست ز شهد
بهره ور شد دل مجروح ز ریش	ریش را یافت بهین مرهم خویش
«حا» ش حاشا که بود گاه شمار	بجز از عد جنان نکته گزار
ابروی «نون » وی آن قبله راز	که کند دل ز وی آغاز نماز
«یا» ش عشریست ز آیات جمال	عشره کامله اش نعت کمال
حرکاتش ز وفور برکات	داده جنبش به دل آثار حیات
سکناتش به سکون راهنمای	روح را در کنف فضل خدای
نقطه هایش چو فروزنده نجوم	به شیاطین قوی الوهم رجوم
شکل تشدید کزو شانه نماست	فارق معنی شدت ز رخاست
جامی این شاهد پاکیزه غیب	که دمد نکهت پاکیش ز جیب
شیوه جلوه نمایی ز تو یافت	صورت چهره گشایی ز تو یافت
کردی از بسمله تاج افرازش	عقد توحید حمایل سازش
نیست در گوش دل اهل نظر	هیچ زیور به ازین عقد گهر
