انما الله اله واحد	فهو المنعم و هوالحامد
می نهد شکر نعمت به دهان	می کند شکر گزاری به زبان
شکر فضلش چو عطای دگر است	باعث شکر و ثنای دگر است
کی شود در نظر خرده شناس	منتهی سلسله شکر و سپاس
هر که جانی بودش در بدنی	گر شود هر سر مویش دهنی
باشد از هر دهنی گشته زبان	هر سر موی به صد نطق و بیان
ابدالدهر سخن ساز کنند	پرده از نوی و کهن باز کنند
نتوانند که آرند بجای	شکر مویی ز کرم های خدای
آن به تاریخ قدم از همه پیش	وان به توقیع کرم از همه پیش
آن که بی لوح و قلم کرده رقم	بر سر لوح عدم حرف قلم
چشمه قاف قلم تا نگشاد	موج فیض از دل دریا نگشاد
نه فلک با همه اختر که در اوست	نه صدف با همه گوهر که در اوست
همه زان جنبش جود افتاده ست	که به صحرای وجود افتاده ست
نیلگون چرخ به پشت به خمش	یک حباب است ز نیل کرمش
رنگ نیلی حباب است دلیل	که پدید آمده از لجه نیل
زانچه در کارگه بوقلمون	از شکاف قلم آورد برون
طرفه نونیست نگون چرخ برین	نقطه حلقه آن گوی زمین
هر که پی برده به این خوش رقم است	عارف نکته «نون والقلم » است
مرد راهش که رود پی زده گم	رخش او راست فلک کاسه سم
اینک اینک بنگر شاهد حال	میخ انجم زده و نعل هلال
تا درین طبع فریبنده سرای	ننهد حادثه زلزله پای
بهر سر کوبیش از سنگ جبال	کرده دامان زمین مالامال
بحر جودش که فلک فلک آمد	بانگ موجش «لمن الملک » آمد
گوش ماهیش چو این حرف شنید	با خموشی ز سخن چاره ندید
از زبان گر چه تهی داشت دهان	«لله الواحد» ش آمد به زبان
واحد است او و ز ماهی تا ماه	همه بر وحدت اویند گواه
نیست در رشته وحدت خم و پیچ	همه او آمد و باقی همه هیچ
هست در دایره لیل و نهار	بابی از رحمت او فصل بهار
باغ پر زیب ز صنعتوریش	آب آیینه ز روشنگریش
باد ازو غالیه سایی اندوز	مرغ ازو نغمه سرایی آموز
بست جیب سمن از غنچه گره	بافت گرد چمن از سبزه گره
زوست محروس به فانوس سپهر	از دم حادثه شمع مه و مهر
به اولی اجنحه مرغان فصیح	داده دانه پی قوت از تسبیح
دست صنعش گل آدم چو سرشت	به خلافتگریش نام نوشت
تاج تکریم نهاد از کرمش	داد از «علم آدم » علمش
به سر مسند تعلیم نشست	طاعنان را دهن از طعن ببست
همه را کرد ترشح ز انا	رشح «سبحانک لا علم لنا»
ساخت محراب ملایک رویش	سجده بردند یکایک سویش
بجز آن آتشی دیو نژاد	که به مسجودی او سر ننهاد
کور دل بود به میل انا خیر	دیده نگشاد به خیریت غیر
چون نه گردن نهی آمد فن او	لعن شد طوق نه گردن او
پشت در کینه وری محکم کرد	روی در وسوسه آدم کرد
دانه را در نظرش تزیین داد	ره به دام خطرش تلقین داد
سوی دانه ز طمع گام نهاد	دانه اش در دهن دام نهاد
گرد عصیانش به رخساره نشست	پشت عهدش ز عصی خرد شکست
زلتش پرده ظلمت افراشت	توبه اش بانگ «ظلمنا» برداشت
تابش مشعله «تاب علیه »	ریخت انوار هدی بین یدیه
ما که در ظلمت هر مشغله ایم	طالب نور ازان مشعله ایم
خیز جامی که مناجات کنیم	روی در قبله حاجات کنیم
بو کز آن مشعله نوری برسد	جان ز نورش به سروری برسد
