به دارالملک گیتی شهریاران	به تخت شهریاری تاجداران
به دل داغ تمنای تو دارند	به سینه تخم سودای تو کارند
به سوی ما به امید قبولی	رسیده ست اینک از هر یک رسولی
بگویم داستان هر رسولت	ببینم تا که می افتد قبولت
به هر کشور که افتد در دلت میل	تو را سازم به زودی شاه آن خیل
پدر می گفت و او خاموش می بود	به بوی آشنایی گوش می بود
خوشا گوش سخن کردن ز جایی	به امید حدیث آشنایی
ز شاهان قصه ها پی در پی آورد	ولی از مصریان دم برنیاورد
زلیخا دید کز مصر و دیارش	نیامد هیچ قاصد خواستگارش
ز دیدار پدر نومید برخاست	ز غم لرزان چو شاخ بید برخاست
به نوک دیده مروارید می سفت	ز دل خونابه می بارید و می گفت
مرا ای کاشکی مادر نمی زاد	وگر می زاد کس شیرم نمی داد
ندانم بر چه طالع زاده ام من	بدین طالع کجا افتاده ام من
اگر بر خیزد از دریا سحابی	که ریزد بر لب هر تشنه آبی
چو ره سوی من لب تشنه آرد	به جای آب جز آتش نبارد
ندانم ای فلک با من چه داری	چو خویشم غرق خون دامن چه داری
گرم ندهی به سوی دوست پرواز	ز وی باری چنین دورم مینداز
گر از من مرگ خواهی مردم اینک	ز بیداد تو جان بسپردم اینک
وگر خواهی مرا در رنج و اندوه	نهادی بر دلم صد رنج چون کوه
به زیر کوه گاهی چند باشد	به موج غم گیاهی چند باشد
دلم از زخم تو صد جای ریش است	اگر رحمی کنی بر جای خویش است
اگر من شاد اگر غمگین تو را چه	وگر من تلخ اگر شیرین تو را چه
کیم من وز وجود من چه خیزد	وزین بود و نبود من چه خیزد
اگر شد خرمنم بر باد گو شو	دو صد خرمن ازین بر تو به یک جو
هزاران تازه گل بر باد دادی	ز داغ مرگ بر آتش نهادی
کجا گردد تو را خاطر پریشان	که من باشم یکی دیگر ازیشان
به صد افغان و درد آن روز تا شب	درون غنچه وار از خون لبالب
سرشک از دیده غمناک می ریخت	به دست غصه بر سر خاک می ریخت
پدر چون دید شوق و بی قراریش	ز سودای عزیز مصر زاریش
رسولان را به خلعت های شاهی	اجازت داد لب پر عذر خواهی
که هست از بهر این فرزانه فرزند	زبانم با عزیز مصر در بند
بود روشن بر دانش پرستان	که باشد دست دست پیشدستان
زبان دهر را به زین مثل نیست	که گوید دست پیشین را بدل نیست
رسولان زان تمنا در گذشتند	ز پیشش باد در کف بازگشتند
زلیخا گر چه عشق آشفت حالش	جهان پر بود از صیت جمالش
به هر جا قصه حسنش رسیدی	شدی مفتون او هر کس شنیدی
سران ملک را سودای او بود	به بزم خسروان غوغای او بود
به هر وقت آمدی از شهریاری	به امید وصالش خواستگاری
درین فرصت که از قید جنون رست	به تخت دلبری هشیار بنشست
رسولان از شه هر مرز و هر بوم	چو شاه ملک شام و کشور روم
فزون از ده تن از ره در رسیدند	به درگاه جلالش آرمیدند
یکی منشور ملک و مال در مشت	یکی مهر سلیمانی در انگشت
که هر یک تحفه کشور ستانیست	ز شاهی خواستگاری را نشانیست
به هر جا رو نهد آن غیرت خور	بود تخت آن او و تاج بر سر
به هر کشور که گردد جلوه گاهش	بد دیهیم شاهی خاک راهش
اگر گیرد چو مه در شام آرام	دعای او کنند از صبح تا شام
وگر آرد به سوی روم آهنگ	غلام وی شوند از روم تا زنگ
بدین دستور هر قاصد پیامی	همی گفت از لب فرخنده نامی
زلیخا را ازین معنی خبر شد	ز اندیشه دلش زیر و زبر شد
که با اینان ز مصر آیا کسی هست	که عشق مصریانم پشت بشکست
به سوی مصریانم می کشد دل	ز مصر ار قاصدی نبود چه حاصل
نسیمی کز دیار مصر خیزد	که در چشمم غبار مصر بیزد
مرا خوشتر ازان باد است صد بار	که آرد نافه از صحرای تاتار
درین اندیشه بود او کش پدر خواند	پدروارش به پیش خویش بنشاند
بگفت ای نور چشم و شادی دل	ز بند غم خط آزادی دل
