بیاع متاع هوشیاری	رقاص سماع بی قراری
ویرانه نشین کوه اندوه	دیوانه سوار قله کوه
گنجور خزانه های افلاس	رنجور فسانه های وسواس
آسوده سایه مغیلان	سرگشته وادی ذلیلان
دمساز مغنیان فریاد	همراز مجردان آزاد
همگردن آهوان صحرا	همشیون بلبلان شیدا
تاراج رسیده شه عشق	نعلین دریده ره عشق
سنگ افکن شیشه خانه عقل	بر هم زن دام و دانه عقل
با گور و گوزن همطویله	با دیو و پری ز یک قبیله
یعنی مجنون اسیر لیلی	شوریده دار و گیر لیلی
چون از خود و قوم خود بگردید	وز قاعده خرد بگردید
بر بستر شب نیارمیدی	چون روز شدی کسش ندیدی
سر رشته عهد پاره کردی	وز همعهدان کناره کردی
هر یاری را که دیدی از دور	از یاری او رمیدی از دور
هر خویشی را که آمدی پیش	دور افکندی ز خویشی خویش
چون قوم وی این صفت بدیدند	در طعنه وی زبان کشیدند
کو را ز میان ما چه حال است	کز قوم خودش چنین ملال است
تیغی نه به مرحمت کشیده ست	وز ما صله رحم بریده ست
چون هاله به گرد او نشستند	پیرامن ماه حلقه بستند
دیدند دلیل و نبض جستند	وز خامشیش زبان بشستند
نگشاد گره ز پرده راز	وز پرده برون نداد آواز
یاری بودش در آن قبیله	قایم به مساعی جمیله
شیرین کاری سخن گزاری	در پرده عشق رازداری
گفتند بدو که قیس هر چند	کرده ست چو نی ره نفس بند
در وی دردم دم وفایی	باشد که برون دهد صدایی
افتاد پی تفحص حال	روزی دو سه قیس را ز دنبال
وآخر گفتش که ای برادر	دارم ز غمت دلی پر آذر
داغ غم تو بسوخت جانم	زد شعله ز مغز استخوانم
پیوند وفا بریدنت چیست	وز صحبت من رمیدنت چیست
زین پیش به هم حریف بودیم	چون لام و الف الیف بودیم
انصاف بده که آن کجا رفت	آن قاعده چون شد و چرا رفت
بنشین نفسی که راز گوییم	احوال گذشته باز جوییم
یار ار نه به راز لب گشاید	بوی یاری ز وی نیاید
در خلوت دوستان دمساز	معماری دوستان کند راز
مجنون چو شنید این ترانه	زد ناله و آه عاشقانه
گفت ای دیرینه همدم من	واندر هر راز محرم من
کاریم به سر فتاده دشوار	در ورطه مردنم ازان کار
کاری نه که بار رنج و اندوه	صد بار فزون گران تر از کوه
این بار اگر نیفتد از پشت	دانم به یقین که خواهدم کشت
پرسید که آن کدام بار است	وان بر دلت از کدام یار است
گفتا غم لیلی و بیفتاد	از گفتن نام آن پریزاد
هم چشم ز کار رفت و هم گوش	هم لب ز حدیث گشته خاموش
دست از دو جهان فشاند تا دیر	نی مرده نه زنده ماند تادیر
آن یار چو دید حال او را	در عشق و وفا کمال او را
دانست که کار و بار او چیست	معشوقه کدام و یار او کیست
ز آشفتگیش بسی بیاشفت	وان راز نهان به دیگران گفت
مقصود وی آنکه آن غم و رنج	گردد ز دواگران دواسنج
